Batch Size,Mode,End-to-End Time (s),Avg Request Time (s),Throughput (req/s),Avg GPU Util (%),Avg Mem Util (%),Avg Mem Used (MB)
1,serial,275.760000705719,13.995247857162108,1.856686969428854,43.47404172731684,24.55992236778263,29180.354196991753
1,parallel,250.9606578350067,10.689669179188659,2.040160415648148,50.37740760020822,32.0801665799063,32909.779281624156
2,serial,247.9527462040715,14.590960944194414,2.064909575869794,43.033482142857146,24.211495535714285,34516.0
2,parallel,259.7507018417542,9.84200195726974,1.9711207568244475,54.938311688311686,35.163419913419915,34773.86147186147
4,serial,268.4757006001426,13.757419661744787,1.9070627205944166,44.17314670813893,24.94504924831519,35014.0
4,parallel,243.0809435915666,9.717872401884822,2.106294275623189,55.25689655172414,35.214942528735634,35180.01264367816
8,serial,277.0378777779447,14.067466735994113,1.8481227336371147,43.001525165226234,24.28622267412303,35298.0
8,parallel,281.14470711635346,9.694102040442289,1.8211262280250067,55.09753539590981,35.30833770319874,35354.7194546408
16,serial,283.7222408769963,14.015982632880498,1.804581827696653,43.8015,24.719,35366.0
16,parallel,260.60811232260346,10.402326942574057,1.9646356954775135,56.322557976106815,35.66830639494027,35535.730147575545
32,serial,261.8662352070919,17.025956455155658,1.9551967041306206,47.36656891495601,25.977517106549364,35622.0
32,parallel,288.9868504026437,15.38181253982971,1.7717069108391381,54.61880559085134,33.96060991105464,38096.55654383736
64,serial,262.5860208509812,24.898192131898696,1.9498372317792287,48.93928571428572,26.819642857142856,40506.0
64,parallel,240.68251324300735,21.430130469712797,2.1272837527795567,57.17937219730942,35.85201793721973,45781.533632287
128,serial,268.50921813839875,41.92947011759121,1.9068246652749845,60.285185185185185,33.43703703703704,51789.955555555556
128,parallel,271.51845589498663,42.23014783566964,1.8856913365698529,60.08614232209738,37.01498127340824,64247.34082397004
