gpu_profile,gpu_label,density,density_level,target_long_fraction_pct,model_key,distserve_decode_replay_mode,distserve_decode_batch_size,distserve_decode_batch_alpha,cucumis_dispatcher,comparison_scope,distserve_all_ttft_p99_ms,cucumis_all_ttft_p99_ms,all_ttft_p99_ratio,distserve_short_ttft_p99_ms,cucumis_short_ttft_p99_ms,short_ttft_p99_ratio,distserve_all_completion_p99_ms,cucumis_all_completion_p99_ms,all_completion_p99_ratio,distserve_round_wall_ms,cucumis_round_wall_ms,round_wall_ratio,distserve_throughput_rps,cucumis_throughput_rps,throughput_ratio
a100,A100,mid_l10,mid,10,baichuan2-7b-chat,continuous_batching,16,0.08,least_backlog,equal_resource_2xgpu_real_split,237.569,377.599,0.629158,203.905,121.901,1.67272,15128.4,3656.21,4.13773,20512.5,8950.28,2.29183,1.95003,4.46926,0.43632
a100,A100,mid_l30,mid,30,baichuan2-7b-chat,continuous_batching,16,0.08,least_backlog,equal_resource_2xgpu_real_split,359.061,404.322,0.888057,326.713,104.664,3.12156,15222.1,3638.88,4.18317,20509.2,8925.18,2.29791,1.95039,4.48175,0.435184
a100,A100,mid_l50,mid,50,baichuan2-7b-chat,continuous_batching,16,0.08,least_backlog,equal_resource_2xgpu_real_split,427.736,418.251,1.02268,405.178,114.617,3.53507,15034.7,3799.56,3.95696,20343.9,9026.64,2.25377,1.96619,4.43133,0.443702
a100,A100,mid_l70,mid,70,baichuan2-7b-chat,continuous_batching,16,0.08,least_backlog,equal_resource_2xgpu_real_split,1199.86,485.399,2.47189,459.176,114.208,4.02053,16461.1,3941.86,4.17597,21812.3,9185.94,2.37454,1.83956,4.35452,0.422448
a100,A100,mid_l90,mid,90,baichuan2-7b-chat,continuous_batching,16,0.08,least_backlog,equal_resource_2xgpu_real_split,2040.19,499.79,4.0821,266.767,104.263,2.55861,16562.4,4509.89,3.67246,21743.5,9166.95,2.37194,1.83987,4.36351,0.42165
a100,A100,high_l10,high,10,baichuan2-7b-chat,continuous_batching,16,0.08,least_backlog,equal_resource_2xgpu_real_split,310.462,378.865,0.819453,284.961,119.537,2.38387,16635.9,3660.44,4.54478,20704.4,7597.52,2.72515,1.93197,5.26489,0.366954
a100,A100,high_l30,high,30,baichuan2-7b-chat,continuous_batching,16,0.08,least_backlog,equal_resource_2xgpu_real_split,701.221,397.376,1.76463,660.526,116.993,5.64588,16761,3664.62,4.57375,20806.6,7539.85,2.75955,1.92247,5.30517,0.362377
a100,A100,high_l50,high,50,baichuan2-7b-chat,continuous_batching,16,0.08,least_backlog,equal_resource_2xgpu_real_split,1041.12,450.821,2.30939,685.735,127.647,5.37214,16550.2,3870.92,4.27554,20629,7793.24,2.64704,1.93911,5.13273,0.377794
a100,A100,high_l70,high,70,baichuan2-7b-chat,continuous_batching,16,0.08,least_backlog,equal_resource_2xgpu_real_split,2143.93,587.294,3.65053,602.593,114.298,5.27212,16712.3,4192.82,3.98593,20806.5,7677.93,2.70992,1.92264,5.20974,0.369048
a100,A100,high_l90,high,90,baichuan2-7b-chat,continuous_batching,16,0.08,least_backlog,equal_resource_2xgpu_real_split,3324.3,590.537,5.62928,325.225,110.501,2.94319,16648.1,4714.14,3.53152,20656.7,7907.42,2.61231,1.93642,5.05881,0.382782
