gpu_profile,gpu_label,target_long_fraction_pct,cases,all_ttft_p99_ratio_mean,short_ttft_p99_ratio_mean,all_completion_p99_ratio_mean,round_wall_ratio_mean,throughput_ratio_mean
a100,A100,10,10,0.943833,2.58101,4.0892,2.56406,0.398612
a100,A100,30,10,2.00758,6.21185,4.13565,2.60719,0.390267
a100,A100,50,10,2.2882,5.88798,3.79522,2.48729,0.410308
a100,A100,70,10,3.20063,5.20376,3.47241,2.40039,0.430611
a100,A100,90,10,4.26839,3.1429,3.24853,2.36262,0.435155
rtx4090,RTX 4090,10,10,0.737132,1.9735,3.30732,2.25266,0.450908
rtx4090,RTX 4090,30,10,0.812282,2.46573,2.14458,1.68942,0.660514
rtx4090,RTX 4090,50,10,1.2955,3.11981,1.96937,1.55154,0.769672
rtx4090,RTX 4090,70,10,1.69649,4.8079,1.59882,1.36093,0.913531
rtx4090,RTX 4090,90,10,2.1406,4.29905,1.41156,1.21147,1.17239
rtx5090,RTX 5090,10,10,0.920984,2.72797,3.10183,1.97619,0.517102
rtx5090,RTX 5090,30,10,1.01494,2.73452,2.74734,1.90962,0.532338
rtx5090,RTX 5090,50,10,1.14801,3.11916,2.68341,1.88819,0.54093
rtx5090,RTX 5090,70,10,1.93314,4.0436,2.44311,1.8001,0.562392
rtx5090,RTX 5090,90,10,2.46991,4.12107,2.04551,1.64834,0.625444
