density_level,target_long_fraction_pct,model_count,case_count,measured_long_fraction_mean,cucumis_vs_vllm_round_wall_ratio_mean,cucumis_vs_vllm_round_wall_ratio_ci95,cucumis_vs_vllm_throughput_ratio_mean,cucumis_vs_vllm_throughput_ratio_ci95,cucumis_vs_vllm_all_completion_p99_ms_improvement_mean,cucumis_vs_vllm_short_completion_p99_ms_improvement_mean
high,10,5,5,0.1,1.0171420618210694,0.015741546090429978,0.9835517910598701,0.014616021380531032,1.0309544495581022,0.9682313732292877
high,30,5,5,0.3,1.0292983369290367,0.02102197785986599,0.9719352333162469,0.019621270583075844,1.0784907572795657,1.0393566985306182
high,50,5,5,0.5,0.9145076539351692,0.01302686666659248,1.0938062859076438,0.015730949858974035,1.2239766107832157,1.193379990436797
high,70,5,5,0.7,0.82861951996221,0.053880778108251925,1.2126587091932173,0.08401553994682665,1.3939271013294838,1.3784847645110185
high,90,5,5,0.9,0.7331614969590172,0.08905415153670275,1.3902060479046905,0.2023777274032616,1.5641857039310434,1.550882605476129
mid,10,5,5,0.1,1.00900608413743,0.005217490579927764,0.9911044387488166,0.005140982801909237,1.022965610083789,0.9622292234156125
mid,30,5,5,0.3,1.0253160666179022,0.028101420872499245,0.9760673738827879,0.0265807217566725,1.0200885394550192,0.9837423608511222
mid,50,5,5,0.5,0.9802395370053479,0.026686952246869816,1.0210316037233844,0.02727345653891248,1.0631348685794848,1.0304382984940672
mid,70,5,5,0.7,0.9101476712559908,0.05207909136404318,1.1030146724655931,0.06797869251450331,1.3032249684638484,1.2773635226509454
mid,90,5,5,0.9,0.8581461353605274,0.10567024700238456,1.1882523695551845,0.17666955360517023,1.4803664966409273,1.475528569326328
