density,density_level,target_long_fraction_pct,model_key,model_label,method,repeat_count,measured_long_fraction,request_count,short_request_count,long_request_count,all_ttft_p50_ms,all_ttft_p90_ms,all_ttft_p99_ms,short_ttft_p50_ms,short_ttft_p90_ms,short_ttft_p99_ms,long_ttft_p50_ms,long_ttft_p90_ms,long_ttft_p99_ms,all_completion_p50_ms,all_completion_p90_ms,all_completion_p99_ms,short_completion_p50_ms,short_completion_p90_ms,short_completion_p99_ms,long_completion_p50_ms,long_completion_p90_ms,long_completion_p99_ms,round_wall_ms,throughput_rps
high_l10,high,10,baichuan2-7b-chat,Baichuan2-7B-Chat,CUCUMIS,2,0.1,40.0,36.0,4.0,142.87230250192806,150.98883501195814,422.01945707551204,142.80981800402515,148.33013850147836,154.68377810320817,358.2145492400741,426.95348091074266,441.7555524164345,4557.827238240861,4693.307295339764,4779.59648128337,4557.827238240861,4692.545245736255,4694.936203006364,3171.1145847366424,4765.178017382277,4826.723448729026,8857.678961503552,4.51585799550631
high_l10,high,10,baichuan2-7b-chat,Baichuan2-7B-Chat,CUCUMIS-II,2,0.1,40.0,36.0,4.0,144.75643802143168,214.35413199360522,634.4001626633689,144.248814729508,151.65276122570504,179.08708327595374,512.0479207398603,650.9459884284297,700.5834657236119,4586.5872392460005,4708.160486826091,5120.46051257872,4586.5872392460005,4706.814797507832,4709.425146810827,3459.7377537429566,5130.047694942914,5158.809242035495,8846.408081997652,4.521620178805006
high_l10,high,10,baichuan2-7b-chat,Baichuan2-7B-Chat,CUCUMIS-Strict,2,0.1,40.0,36.0,4.0,161.82593077246565,208.9885774796135,691.0740850225556,161.3888815190876,169.80688650801312,174.80151069030399,569.8820587422233,707.9883432481438,758.7311179249082,5146.481746749487,5238.4456548054,5709.490998462425,5146.481746749487,5237.732072753715,5240.082581799652,3842.7912595070666,5720.877653203206,5755.037617425551,9421.228247025283,4.2458069335136495
high_l10,high,10,baichuan2-7b-chat,Baichuan2-7B-Chat,Chunked prefill,2,0.1,40.0,36.0,4.0,137.8913087391993,188.72754482727072,595.5368141923099,137.41434201074298,143.00540048861876,159.6907820974593,486.87856274773367,610.6231208017562,655.8820406300947,4397.964842253714,4500.583520747023,4888.516468159505,4397.964842253714,4499.567125778412,4501.258896279614,3291.6642302589025,4898.51717154379,4928.519281696645,8707.021789479768,4.594017766132881
high_l10,high,10,baichuan2-7b-chat,Baichuan2-7B-Chat,Sarathi,2,0.1,40.0,36.0,4.0,159.75857475132216,217.07222344994125,681.8439376566674,159.46580350282602,171.4432445296552,184.91405189124634,563.3977010147646,698.0792181944707,746.7850598078803,5093.805734242778,5203.512774829869,5650.397556318203,5093.805734242778,5201.835475250846,5207.393690478057,3805.2089325065026,5660.631979396567,5691.335248631658,9364.455467526568,4.271473737343035
high_l10,high,10,baichuan2-7b-chat,Baichuan2-7B-Chat,vLLM,2,0.1,40.0,36.0,4.0,138.56505471630953,187.18312528799328,594.2842455927165,138.50503548746929,142.9244087485131,154.43786069954513,491.77068000426516,608.5595666168956,651.3855296894326,4449.707111489261,4528.635292939725,4934.367470916186,4449.707111489261,4527.397097743233,4529.868772556074,3317.1292024926515,4944.312339517637,4974.146945321991,8746.690109488554,4.573158590183478
high_l10,high,10,gemma-2-9b-it,Gemma-2-9B-IT,CUCUMIS,2,0.1,40.0,36.0,4.0,242.98621276102494,248.6700952082174,619.6120016879283,242.74730849720072,247.79073875106405,251.16022118891124,339.37791075732093,646.8252605729504,729.684227577236,7954.016197487363,7961.783393900259,7965.368634460319,7954.5535934885265,7962.182277507964,7965.4572170824395,5164.006101782434,7955.098701213137,7955.4205617294065,12330.841339018662,3.244056777539476
high_l10,high,10,gemma-2-9b-it,Gemma-2-9B-IT,CUCUMIS-II,2,0.1,40.0,36.0,4.0,243.07126125495415,297.98902265611173,1009.0912125117028,242.5639859866351,245.28281323728152,248.09520456183236,849.264563745237,1031.3452461996349,1098.1073472634307,7881.053912991774,7894.861795043107,8643.618474896939,7881.053912991774,7893.303541757632,7895.585526822833,5583.325638246606,8666.047863688436,8733.336030062928,12287.027617509011,3.2554682816661975
high_l10,high,10,gemma-2-9b-it,Gemma-2-9B-IT,CUCUMIS-Strict,2,0.1,40.0,36.0,4.0,248.2485960063059,311.22701707936426,1035.6989109571439,247.71839499589987,252.24569978308864,259.6030975008034,875.3057010035263,1058.4971424745163,1126.8918370266329,8050.635580992093,8071.198713115882,8838.54043528816,8050.635580992093,8069.287874488509,8073.590590499225,5715.256233757827,8860.87808860757,8927.891048565798,12444.152885000221,3.2143699591743493
high_l10,high,10,gemma-2-9b-it,Gemma-2-9B-IT,Chunked prefill,2,0.1,40.0,36.0,4.0,243.09588700998574,297.0851148042136,1008.1596638230257,242.9983937763609,246.14635750185698,247.87185207242146,851.6750422422774,1030.5925725580892,1097.8912987632793,7894.08577150607,7910.538272382109,8656.30458260508,7894.08577150607,7908.630356483627,7911.911782236712,5593.149166481453,8678.787469197414,8746.236128974415,12268.810713023413,3.2603576951099944
high_l10,high,10,gemma-2-9b-it,Gemma-2-9B-IT,Sarathi,2,0.1,40.0,36.0,4.0,257.86911450268235,316.1930378148107,1072.3200510686727,257.50453349610325,261.97701749333646,263.9383699177415,906.8310317670694,1095.8864292071667,1166.585563622648,8660.072802740615,8781.19050654932,9453.437585153442,8660.072802740615,8765.873428754276,8788.6093959969,6048.976961246808,9482.80831965676,9570.920523166715,13147.492043470265,3.0424996131119237
high_l10,high,10,gemma-2-9b-it,Gemma-2-9B-IT,vLLM,2,0.1,40.0,36.0,4.0,243.28212275577243,302.00610092142665,1019.2624310962854,242.55725801049266,247.2372002521297,252.26403262349777,859.7024430055171,1041.7915602738503,1109.3789478065446,7941.392163760611,7958.114697178826,8710.073995936546,7941.392163760611,7956.405032251496,7959.37610015535,5623.320839498774,8732.829453918384,8801.095827863901,12274.820500490023,3.2587104470208486
high_l10,high,10,gemma-7b-it,Gemma-7B-IT,CUCUMIS,2,0.1,40.0,36.0,4.0,148.88989699829835,206.40413104265468,499.6157870834577,148.60508726269472,161.83513250143733,220.9184525869204,415.5529352428857,501.0492981731659,505.34983144229045,4828.320684246137,5063.540313739213,5245.517241797934,4789.728337491397,5062.6615210057935,5064.446543730446,5079.656219502795,5253.801869685412,5278.655753347848,9060.714048508089,4.4147027329949875
high_l10,high,10,gemma-7b-it,Gemma-7B-IT,CUCUMIS-II,2,0.1,40.0,36.0,4.0,145.64078924013302,268.51879113528474,810.7150641817134,145.43376897927374,162.82663700985722,212.45720652368612,724.524608507636,819.6819700999185,846.582687854534,4784.0962234768085,4928.644140213146,5406.34945231257,4696.318605245324,4891.407871749834,4911.109424493043,5346.387628756929,5407.854419894284,5412.369322639424,9008.297049003886,4.440438579196928
high_l10,high,10,gemma-7b-it,Gemma-7B-IT,CUCUMIS-Strict,2,0.1,40.0,36.0,4.0,163.2586654741317,277.662136434811,861.5183002827689,162.92795974004548,184.88134926883504,217.2181027985061,788.4823372442042,869.4836151029449,893.3795595634729,5293.830711249029,5453.139774483862,5960.759108808998,5213.8816749939,5412.938383495202,5414.482957238215,5942.826280777808,5962.47976012819,5967.641714085767,9515.351975016529,4.203736615702093
high_l10,high,10,gemma-7b-it,Gemma-7B-IT,Chunked prefill,2,0.1,40.0,36.0,4.0,147.1871942630969,268.9347754261696,816.2754463753663,146.99379075318575,169.2652465280844,212.5608903326792,732.5538907462033,824.7185127867851,850.0477120210417,4801.293186494149,4969.753042454249,5437.438369900337,4754.978392767953,4951.672325245454,4953.916079453484,5368.8241542404285,5441.445591190131,5453.467255059513,8989.759720512666,4.449511904050498
high_l10,high,10,gemma-7b-it,Gemma-7B-IT,Sarathi,2,0.1,40.0,36.0,4.0,144.89437053271104,266.37664070585805,806.8327500790474,144.44781575002708,162.00676198059227,210.97337845712894,720.9532665001461,815.6943098729244,842.2789892545552,4733.764722273918,4899.384099998861,5349.4035876204725,4637.144515480031,4862.72148124408,4868.548083075439,5337.213940263609,5350.60529470793,5354.210415970301,8935.821014485555,4.4764205942609845
high_l10,high,10,gemma-7b-it,Gemma-7B-IT,vLLM,2,0.1,40.0,36.0,4.0,145.34353725321125,267.8817257343332,811.0673489485634,145.21147150662728,164.38995175121818,212.4389736418379,723.9265712414635,820.4063451557886,848.423333777464,4752.26763698447,4893.966858045314,5367.971995183325,4680.487746998551,4876.436381251551,4877.759395189059,5316.913380767801,5369.600236255792,5374.484959473193,8942.608988523716,4.472971976711879
high_l10,high,10,mistral-7b-instruct-v0.2,Mistral-7B-Instruct-v0.2,CUCUMIS,2,0.1,40.0,36.0,4.0,144.8057514935499,152.18566894764083,392.74206592934206,144.15670224116184,148.5441659751814,162.61277653393333,302.0993722457206,397.6458701014053,412.35728261759505,4700.505852990318,4788.168719538953,4958.28226108657,4691.882759259897,4782.894545001909,4789.110775408335,4859.964161252719,4961.898098295205,4972.745609921112,9012.187230488053,4.438437953340754
high_l10,high,10,mistral-7b-instruct-v0.2,Mistral-7B-Instruct-v0.2,CUCUMIS-II,2,0.1,40.0,36.0,4.0,145.44071424461436,209.8249983042483,636.5281086546019,145.07093050633557,149.23481276491657,173.48354395071507,510.96165549824946,653.9929808495799,706.3875974345137,4774.972562750918,4837.04443713068,5254.355045935954,4741.173899223213,4805.367191278492,4808.776226853661,5165.763273529592,5267.012323101517,5304.984154598205,9062.516267003957,4.4137932347602
high_l10,high,10,mistral-7b-instruct-v0.2,Mistral-7B-Instruct-v0.2,CUCUMIS-Strict,2,0.1,40.0,36.0,4.0,142.0665320038097,221.89093675406227,646.1702372549915,141.8014842492994,151.57354275288526,187.65663053054593,509.35008077067323,664.8371421586489,720.8378568696207,4681.780314509524,4747.330069867894,5159.30755098263,4639.03195146122,4717.528319742996,4720.689506514464,5071.112142759375,5171.356258410378,5207.502380693622,8952.698405453702,4.467942127643884
high_l10,high,10,mistral-7b-instruct-v0.2,Mistral-7B-Instruct-v0.2,Chunked prefill,2,0.1,40.0,36.0,4.0,141.49425775394775,221.0942902078391,644.4493939369567,141.0196602519136,150.08422326354776,186.79853758076206,507.7747899922542,663.4878871060209,720.6033666132134,4670.302124766749,4733.93922309333,5146.4348851057,4623.787931006518,4704.3837395031005,4706.773026497103,5057.343770022271,5158.820884814486,5195.978883940843,8925.12139401515,4.4817343112322305
high_l10,high,10,mistral-7b-instruct-v0.2,Mistral-7B-Instruct-v0.2,Sarathi,2,0.1,40.0,36.0,4.0,142.51814650197048,219.5751788152852,644.3901404881034,142.29824175708927,149.9764187465189,184.99917351000477,508.5898702527629,662.7179771399824,717.7014870956191,4686.029027507175,4749.537436969695,5160.962357283279,4634.977189998608,4721.415005988092,4723.092275761883,5075.373831743491,5172.857603101875,5208.543340557662,8946.423410990974,4.471062021490139
high_l10,high,10,mistral-7b-instruct-v0.2,Mistral-7B-Instruct-v0.2,vLLM,2,0.1,40.0,36.0,4.0,141.6739054984646,257.6055759942396,662.1436618154985,141.45464650937356,155.52715651574545,217.414066522906,536.3102927512955,676.1606318963459,718.211542138888,4727.231492011924,4788.984822802013,5200.322333845834,4680.48644324881,4760.18219726393,4762.3356606200105,5110.717926247162,5212.61901264952,5249.50904906058,8952.317729970673,4.4681458238392295
high_l10,high,10,qwen2.5-7b-instruct,Qwen2.5-7B-Instruct,CUCUMIS,2,0.1,40.0,36.0,4.0,137.4772639828734,142.75291813828517,401.89623011508957,136.93836248421576,140.4469622502802,143.49205021426314,295.54376151645556,407.4393878923729,424.0688612242229,4503.132082492812,4540.69492337876,4775.298083552043,4498.403426725417,4534.9932855024235,4543.187613748887,4648.771596766892,4780.370539845899,4795.587908727466,8838.368645490846,4.529451743525124
high_l10,high,10,qwen2.5-7b-instruct,Qwen2.5-7B-Instruct,CUCUMIS-II,2,0.1,40.0,36.0,4.0,126.20517100731377,178.34658189385698,541.3141695118974,126.03323798975907,129.549714984023,153.1228614912834,441.3679929857608,555.0462787039578,596.2426062801387,4121.562719985377,4175.215454259887,4544.307819383685,4119.719936483307,4148.1058215140365,4150.207819009665,4458.649972773856,4555.909203412011,4590.713355496991,8466.320128994994,4.724620701678457
high_l10,high,10,qwen2.5-7b-instruct,Qwen2.5-7B-Instruct,CUCUMIS-Strict,2,0.1,40.0,36.0,4.0,128.03780173999257,178.24712885776572,545.7479476081788,127.66627577366307,131.80120025936048,149.2796317441389,446.21574073971715,559.3364483880578,600.1019507276942,4186.992048489628,4241.102491915808,4613.373289936571,4186.610819248017,4213.096683990443,4215.7288424132275,4526.993390507414,4624.813362106215,4659.133578615147,8504.98615502147,4.7031320702281665
high_l10,high,10,qwen2.5-7b-instruct,Qwen2.5-7B-Instruct,Chunked prefill,2,0.1,40.0,36.0,4.0,125.77972075087018,178.4260302985789,540.3539663951959,125.49545275396667,129.64589726470876,153.20275555131957,440.906421514228,554.3015228031436,596.1441920269863,4094.4689650204964,4147.124840610195,4511.758431713388,4082.799007257563,4121.266924485099,4122.851877007633,4432.596007507527,4522.951721047866,4556.531589051301,8404.87041749293,4.759145773027388
high_l10,high,10,qwen2.5-7b-instruct,Qwen2.5-7B-Instruct,Sarathi,2,0.1,40.0,36.0,4.0,125.77022197365295,190.0859204935845,559.2160542443161,125.40774125955068,134.66605650319252,160.73355799453566,444.9476114969002,574.1418066143524,618.919063724461,4121.535274025518,4181.992023193743,4550.504991088819,4103.045352254412,4157.456537766848,4158.223192993319,4466.026477748528,4561.883760886849,4596.020070280938,8431.039724498987,4.744373341137376
high_l10,high,10,qwen2.5-7b-instruct,Qwen2.5-7B-Instruct,vLLM,2,0.1,40.0,36.0,4.0,127.01089076290373,178.4438562695872,545.1413628176668,126.70163626899011,130.31846622470766,149.01741574140033,443.9908172644209,558.5862693638774,598.9209890025086,4145.397052241606,4202.136830589734,4568.708169444872,4136.327921747579,4174.4280095008435,4177.606594616373,4489.287691772915,4579.426540611894,4611.581654112961,8429.033005493693,4.745558469537102
high_l30,high,30,baichuan2-7b-chat,Baichuan2-7B-Chat,CUCUMIS,2,0.3,40.0,28.0,12.0,149.64421025069896,448.36300929309806,551.8973006610759,146.09370598918758,175.56234748917632,231.06909844937036,369.8607422556961,521.7602133954642,564.3894438189454,4840.380011257366,5134.850276345969,5233.266877786955,4803.066391759785,5123.98857610242,5136.177008160448,4612.598622741643,5163.532601000043,5265.276054017013,8878.241748985602,4.505405493310361
high_l30,high,30,baichuan2-7b-chat,Baichuan2-7B-Chat,CUCUMIS-II,2,0.3,40.0,28.0,12.0,175.36388349253684,694.4271160813514,818.6142193092383,148.75764300813898,199.06182643026114,210.80749159591505,642.948853521375,802.8446397482185,821.8467717149178,4779.043877511867,5189.843806510908,5465.095234297623,4779.043877511867,5142.811543899006,5146.249603534525,4241.829724734998,5406.500943188439,5487.238490250602,8835.899823519867,4.5270000348092285
high_l30,high,30,baichuan2-7b-chat,Baichuan2-7B-Chat,CUCUMIS-Strict,2,0.3,40.0,28.0,12.0,173.20983174431603,686.1324276862433,819.3630874648807,148.08722827001475,198.21706249786075,212.46302627783734,640.9979945165105,801.072774187196,824.0645158165717,4797.186672993121,5210.085058445111,5478.9892621935,4797.186672993121,5157.149402727373,5158.726415753772,4021.079295751406,5426.743200345663,5498.447312841017,8865.010145003907,4.512136423357553
high_l30,high,30,baichuan2-7b-chat,Baichuan2-7B-Chat,Chunked prefill,2,0.3,40.0,28.0,12.0,167.0775475067785,673.099483695114,798.2098226732342,142.52502599265426,192.95321290264837,199.15653992298758,620.8496417384595,784.1932732146233,799.545430088765,4605.040490758256,4997.4876818974735,5279.022952346422,4605.040490758256,4970.550328501849,4973.3705395506695,3586.455688244314,5226.913820041227,5297.685214149824,8714.397683477728,4.59012872942244
high_l30,high,30,baichuan2-7b-chat,Baichuan2-7B-Chat,Sarathi,2,0.3,40.0,28.0,12.0,190.33577699156012,720.9057677100645,856.9052088152966,163.88690125313587,203.7928751495201,216.87252059404273,680.2390285010915,840.3907646017615,860.1166326968814,5238.832164744963,5679.806480949628,5893.512908067205,5238.832164744963,5530.379099398851,5533.729218609515,4302.47643799521,5852.226793419686,5909.128949202714,9370.959733001655,4.2685194445587875
high_l30,high,30,baichuan2-7b-chat,Baichuan2-7B-Chat,vLLM,2,0.3,40.0,28.0,12.0,169.53062574611977,677.5183025893057,803.4526006274973,143.21201074926648,195.23223004944157,204.48053421772784,628.5541147663025,788.9869547099806,805.0062731737853,4599.266274017282,5018.828795573791,5303.146419766999,4599.266274017282,4996.705615991959,5004.422624742147,4017.1505337493727,5245.949134367402,5324.0670919799595,8717.747255490394,4.588349317610806
high_l30,high,30,gemma-2-9b-it,Gemma-2-9B-IT,CUCUMIS,2,0.3,40.0,28.0,12.0,278.14793298603036,351.58483327541046,744.8655300872632,276.7508982360596,283.12409049249254,409.80958930449566,281.0823065083241,638.1983895174926,785.9305561828661,9021.042081018095,9062.083226136747,9445.61798261333,8972.079506507725,9051.134933051071,9102.2131686777,9042.41491400171,9303.094954616972,9505.226645148068,13228.401262516854,3.023798305384992
high_l30,high,30,gemma-2-9b-it,Gemma-2-9B-IT,CUCUMIS-II,2,0.3,40.0,28.0,12.0,331.1719777411781,1187.0026531018084,1435.0665191674489,291.1691140034236,359.4481017178623,484.08087404561235,1100.5124562361743,1413.0040290474426,1443.689868588408,8541.783231252339,9211.109387580655,9427.648198072857,8397.405119016184,8625.24233800359,8629.856351723138,9022.204496490303,9340.541872076574,9462.240105208766,12263.947206520243,3.2616758305721896
high_l30,high,30,gemma-2-9b-it,Gemma-2-9B-IT,CUCUMIS-Strict,2,0.3,40.0,28.0,12.0,338.34047299751546,1190.439683792647,1434.9340313702123,285.5676959879929,362.0085826754803,485.96815776196314,1111.6786804923322,1409.8045326711144,1446.1587830964709,8562.781902743154,9232.977718990878,9449.618934862665,8416.831924492726,8647.895674550091,8650.390722487355,9037.64768250403,9363.303250129684,9483.82600763056,12287.101263995282,3.255448684712521
high_l30,high,30,gemma-2-9b-it,Gemma-2-9B-IT,Chunked prefill,2,0.3,40.0,28.0,12.0,330.6894362322055,1189.6795419044793,1433.7698638354777,285.04443050769623,357.1171465649968,485.7560105709127,1106.5135322714923,1403.4821416746126,1446.9555934538948,8487.155974988127,9155.641460436163,9376.331933533365,8349.546899742563,8579.30924432876,8586.762890502869,8965.341943767271,9291.53470066085,9409.742332231544,12270.289945998229,3.259912790286061
