density,density_level,target_long_fraction_pct,measured_long_fraction,model_key,model_label,cucumis_all_ttft_p99_ms,vllm_all_ttft_p99_ms,best_chunk_all_ttft_p99_ms,cucumis_vs_vllm_all_ttft_p99_ms_improvement,cucumis_vs_best_chunk_all_ttft_p99_ms_improvement,cucumis_short_ttft_p99_ms,vllm_short_ttft_p99_ms,best_chunk_short_ttft_p99_ms,cucumis_vs_vllm_short_ttft_p99_ms_improvement,cucumis_vs_best_chunk_short_ttft_p99_ms_improvement,cucumis_all_completion_p99_ms,vllm_all_completion_p99_ms,best_chunk_all_completion_p99_ms,cucumis_vs_vllm_all_completion_p99_ms_improvement,cucumis_vs_best_chunk_all_completion_p99_ms_improvement,cucumis_short_completion_p99_ms,vllm_short_completion_p99_ms,best_chunk_short_completion_p99_ms,cucumis_vs_vllm_short_completion_p99_ms_improvement,cucumis_vs_best_chunk_short_completion_p99_ms_improvement,cucumis_round_wall_ms,vllm_round_wall_ms,cucumis_vs_vllm_round_wall_ratio,cucumis_throughput_rps,vllm_throughput_rps,cucumis_vs_vllm_throughput_ratio
high_l10,high,10,0.1,baichuan2-7b-chat,Baichuan2-7B-Chat,422.01945707551204,594.2842455927165,595.5368141923099,1.408191578916659,1.4111596141069636,154.68377810320817,154.43786069954513,159.6907820974593,0.9984101926738629,1.0323692894991896,4779.59648128337,4934.367470916186,4888.516468159505,1.0323816017186578,1.0227885318985943,4694.936203006364,4529.868772556074,4501.258896279614,0.9648413901035353,0.9587476169318915,8857.678961503552,8746.690109488554,1.0126892402298093,4.51585799550631,4.573158590183478,0.987470236698074
high_l10,high,10,0.1,gemma-2-9b-it,Gemma-2-9B-IT,619.6120016879283,1019.2624310962854,1008.1596638230257,1.645001110888171,1.627082208021516,251.16022118891124,252.26403262349777,247.87185207242146,1.0043948497471513,0.986907285314037,7965.368634460319,8710.073995936546,8656.30458260508,1.0934928935058237,1.0867424948991797,7965.4572170824395,7959.37610015535,7911.911782236712,0.9992365639835403,0.9932777951865843,12330.841339018662,12274.820500490023,1.0045638825045469,3.244056777539476,3.2587104470208486,0.9955032305816649
high_l10,high,10,0.1,gemma-7b-it,Gemma-7B-IT,499.6157870834577,811.0673489485634,806.8327500790474,1.6233821466756009,1.6149064359815175,220.9184525869204,212.4389736418379,210.97337845712894,0.9616171539960146,0.9549830536411232,5245.517241797934,5367.971995183325,5349.4035876204725,1.0233446479614314,1.0198047858835997,5064.446543730446,4877.759395189059,4868.548083075439,0.9631376998593268,0.9613188807575587,9060.714048508089,8942.608988523716,1.0132070025801128,4.4147027329949875,4.472971976711879,0.98697303626755
high_l10,high,10,0.1,mistral-7b-instruct-v0.2,Mistral-7B-Instruct-v0.2,392.74206592934206,662.1436618154985,644.3901404881034,1.6859504475250795,1.6407464246624275,162.61277653393333,217.414066522906,184.99917351000477,1.3370048230960314,1.1376669008009954,4958.28226108657,5200.322333845834,5146.4348851057,1.0488153074016853,1.0379471385676817,4789.110775408335,4762.3356606200105,4706.773026497103,0.9944091677883475,0.9828072991474682,9012.187230488053,8952.317729970673,1.006687597818043,4.438437953340754,4.4681458238392295,0.9933511860020385
high_l10,high,10,0.1,qwen2.5-7b-instruct,Qwen2.5-7B-Instruct,401.89623011508957,545.1413628176668,540.3539663951959,1.3564231808334124,1.3445111596106705,143.49205021426314,149.01741574140033,153.20275555131957,1.0385064226128673,1.0676741695623997,4775.298083552043,4568.708169444872,4511.758431713388,0.9567377972029126,0.9448118950424506,4543.187613748887,4177.606594616373,4122.851877007633,0.919532044411688,0.9074799958801599,8838.368645490846,8429.033005493693,1.0485625859728351,4.529451743525124,4.745558469537102,0.954461265750023
high_l30,high,30,0.3,baichuan2-7b-chat,Baichuan2-7B-Chat,551.8973006610759,803.4526006274973,798.2098226732342,1.4558009246740335,1.4463013711375634,231.06909844937036,204.48053421772784,199.15653992298758,0.8849324102181134,0.8618917079759363,5233.266877786955,5303.146419766999,5279.022952346422,1.0133529482848762,1.008743309987435,5136.177008160448,5004.422624742147,4973.3705395506695,0.974347772047387,0.9683020136667586,8878.241748985602,8717.747255490394,1.0184100879265716,4.505405493310361,4.588349317610806,0.9819229490697028
high_l30,high,30,0.3,gemma-2-9b-it,Gemma-2-9B-IT,744.8655300872632,1435.43059812102,1432.3348247993272,1.9271003156138196,1.922944165011267,409.80958930449566,380.9494147339137,485.7560105709127,0.9295766245500461,1.1853212400307878,9445.61798261333,9590.219161880668,9376.331933533365,1.0153088108722486,0.9926647415544965,9102.2131686777,8770.468210828258,8586.762890502869,0.9635533741408041,0.943370884792219,13228.401262516854,12428.855534497416,1.0643297949517738,3.023798305384992,3.2183859367805314,0.9395387516544419
high_l30,high,30,0.3,gemma-7b-it,Gemma-7B-IT,638.8228501449339,1836.662339225586,1837.7263722522184,2.875073017204833,2.876738632369336,386.6288897319465,465.2124635176733,833.6452078050934,1.2032532381121586,2.1561896432081613,6061.59123758116,7249.827363646182,7094.369611696457,1.196027095772822,1.1703807356246971,5868.305945248285,6766.141672116064,6610.11363100406,1.15299742979399,1.1264091703256263,9595.462081488222,9196.855899499496,1.0433415708960296,4.168639860712944,4.349480693630513,0.9584224311692207
high_l30,high,30,0.3,mistral-7b-instruct-v0.2,Mistral-7B-Instruct-v0.2,554.6663609857205,993.0031537348987,981.1999228724744,1.790271095528836,1.7689912204676401,255.04369587550173,252.1198288712185,247.93694602820324,0.9885358193455975,0.9721351675723535,5458.734381454124,6027.8210539979045,5993.792748796113,1.104252493852281,1.0980187585532342,5202.85747121583,5564.716711785877,5537.44024947111,1.0695500967635552,1.0643075041179426,9070.258547493722,8945.11393251014,1.0139902762477688,4.410054050776228,4.471752238789915,0.9862026819199663
high_l30,high,30,0.3,qwen2.5-7b-instruct,Qwen2.5-7B-Instruct,505.4633255925728,764.4037891374319,733.33111182641,1.5122833852313498,1.450809731777671,204.69550090609118,207.60472607478732,193.09307996038115,1.014212452915762,0.9433186323375378,4823.374601836549,5129.718880332366,5015.467270963127,1.0635124376156007,1.0398253681257592,4574.1359562423895,4740.336362444214,4622.899654896173,1.036334819907355,1.0106607453561225,8540.961877501104,8486.479066981701,1.0064199546230401,4.68331633544787,4.713533133584079,0.9935893527679028
high_l50,high,50,0.5,baichuan2-7b-chat,Baichuan2-7B-Chat,598.9961492008297,1062.4507909605745,1044.1248552291654,1.773718900160006,1.7431244868973177,273.57341206428816,241.8284710147418,244.19927000417374,0.8839618923125231,0.8926279354471345,5311.341345812252,6210.7963090221165,6183.193793474347,1.169346103864901,1.1641492027902727,5121.057461919845,5899.725429285027,5858.200153968937,1.1520521831975823,1.1439434526033894,8982.79199100216,9660.847969003953,0.9298140307996481,4.453967229258472,4.1404593557493845,1.075718138151448
high_l50,high,50,0.5,gemma-2-9b-it,Gemma-2-9B-IT,1061.0045988031197,2034.9143869866384,1925.233148690313,1.9179128811337391,1.8145379867929865,301.712023812579,425.14976748498157,529.7689517860997,1.4091243766575279,1.75587616658986,8901.307431319728,10470.488417321467,10174.475269859831,1.1762865734173489,1.1430315544501242,8487.293645803293,9661.021151410241,9461.954118667345,1.138292317267392,1.1148376047229134,12783.254272537306,13841.538897977443,0.9235428493001759,3.1290972289989925,2.8898527695195053,1.0827877675994082
high_l50,high,50,0.5,gemma-7b-it,Gemma-7B-IT,1214.1782091531786,2822.126204336819,2707.988499746716,2.3243097125792547,2.230305633334819,275.0334277161164,477.88981661200523,702.7965479929117,1.7375699404265608,2.55531319894076,6684.543700293871,9202.00843146682,8701.306996367057,1.3766098097409813,1.3017054546272955,6466.66025358747,8693.981123868725,8205.232664222713,1.3444314039918237,1.2688516703302521,10182.8111979994,11431.282168487087,0.8907846948324502,3.9283941165975866,3.4991817380089354,1.1226607849276433
high_l50,high,50,0.5,mistral-7b-instruct-v0.2,Mistral-7B-Instruct-v0.2,698.2604870994692,1331.9214739787276,1266.9707313462277,1.907485098450074,1.8144671719993002,249.62350862304442,274.28900871775113,275.0957547436701,1.09881080604453,1.1020426572045794,5652.108451549429,6862.437860888895,6772.991255887318,1.2141376832583024,1.1983123313974307,5442.36795716628,6465.758308139048,6391.873182112176,1.1880413744581917,1.174465459230045,9207.032625505235,10087.87485648645,0.9126830731435136,4.345104488380345,3.9651612570825847,1.0958203731611431
high_l50,high,50,0.5,qwen2.5-7b-instruct,Qwen2.5-7B-Instruct,678.8905850157607,1020.328652166063,961.777876035776,1.5029353399301828,1.416690549646447,270.80654409219267,254.8850183407194,225.77029798412696,0.9412070125378765,0.8336958722358877,5275.4633370394,6243.526071894448,5782.661422179372,1.1835028836345447,1.0961428509186857,5081.3001810980495,5813.427494872885,5446.958671544271,1.144082673268995,1.071961599868954,8927.543356461683,9749.274386529578,0.915713621600058,4.480523980674557,4.102877246940771,1.0920443656985768
high_l70,high,70,0.7,baichuan2-7b-chat,Baichuan2-7B-Chat,744.0335948558641,2113.2073634365224,2010.515595584293,2.840204230087081,2.70218389261546,202.70638186455471,213.15137299825437,206.63515241554705,1.0515276876713178,1.0193815829321915,5615.074499346665,7484.872250862536,7040.633657082508,1.33299607186573,1.2538807201759676,5419.997831215442,7191.853713338787,6762.761234052305,1.326910810170196,1.2477424243794848,8972.243926487863,10372.055121493759,0.8650401315256124,4.458239017918123,3.8565825230873862,1.156007680693704
high_l70,high,70,0.7,gemma-2-9b-it,Gemma-2-9B-IT,943.8700751319993,3419.664365860226,3515.148295451654,3.6230244563924643,3.7241866100692556,324.7713212875533,316.9575761235319,357.20462820114335,0.9759407784743929,1.0998650582354639,9035.959574995504,11988.096872182505,11486.694242023514,1.3267098831823259,1.271220189365359,8564.727082617756,11237.135759158991,10490.28306313412,1.312024965975265,1.2248239741841056,12292.39080901607,15202.30283899582,0.8085874185774369,3.2540499975528903,2.6311952751068484,1.2367193071296272
high_l70,high,70,0.7,gemma-7b-it,Gemma-7B-IT,1332.9892081191065,4760.04532102932,5137.987797451497,3.570955632676057,3.8544856673681354,251.65215927991085,385.12974145123735,369.3795602678438,1.5304050740246595,1.4678179647844214,6915.866310957354,11189.702941190917,10567.704543412547,1.6179755995951204,1.528037713318619,6683.2618263340555,10687.126043708704,10090.261565640394,1.599088337613562,1.5097809763911594,9986.608147999505,13669.346979993861,0.7305841429452097,4.006731642447518,2.9262910011388534,1.3692184546540924
high_l70,high,70,0.7,mistral-7b-instruct-v0.2,Mistral-7B-Instruct-v0.2,808.8415986485779,2657.220101803541,2646.6190229394124,3.285216915454467,3.272110419841678,256.8900777617819,227.65967997838743,218.42132710211445,0.8862143760550367,0.8502520961695526,6162.9055368187255,8417.649870597234,7965.396787908685,1.3658573574279382,1.292474262394812,5916.1746167362435,7974.260678392893,7521.217379488226,1.347874461959682,1.2712973951464317,9556.14149098983,11182.40153545048,0.8545696969201941,4.1859755183154626,3.5770530512131096,1.170230203014698
