density,density_level,target_long_fraction_pct,model_key,model_label,method,repeat_index,round_wall_ms,throughput_rps,source_json,request_count,short_request_count,long_request_count,measured_long_fraction,all_ttft_p50_ms,all_ttft_p90_ms,all_ttft_p99_ms,all_completion_p50_ms,all_completion_p90_ms,all_completion_p99_ms,short_ttft_p50_ms,short_ttft_p90_ms,short_ttft_p99_ms,short_completion_p50_ms,short_completion_p90_ms,short_completion_p99_ms,long_ttft_p50_ms,long_ttft_p90_ms,long_ttft_p99_ms,long_completion_p50_ms,long_completion_p90_ms,long_completion_p99_ms
mid_l10,mid,10,mistral-7b-instruct-v0.2,Mistral-7B-Instruct-v0.2,Chunked prefill,0,10436.40744005097,3.8327365264118742,/home/onceas/Arantir/CUCUMIS-lorekeep/lorekeep/results/chapter5_baseline_variants/ratio_sweep_20step_5models_a100_overnight_baseline/raw/mid_l10/mistral-7b-instruct-v0.2_fixed_chunk_vs_sarathi.json,40.0,36.0,4.0,0.1,143.39499204652384,185.24655812070745,599.0567448781802,4653.465455485275,4698.4501599974465,5110.644993793103,143.13033898361027,145.51544198184274,156.25019200961106,4648.312362987781,4667.923478002194,4669.956958887633,504.9011819937732,612.30358784087,652.0441167289391,5026.2346914969385,5123.078320996137,5160.378302605241
mid_l10,mid,10,mistral-7b-instruct-v0.2,Mistral-7B-Instruct-v0.2,Sarathi,0,10364.049536990933,3.8594952539770935,/home/onceas/Arantir/CUCUMIS-lorekeep/lorekeep/results/chapter5_baseline_variants/ratio_sweep_20step_5models_a100_overnight_baseline/raw/mid_l10/mistral-7b-instruct-v0.2_fixed_chunk_vs_sarathi.json,40.0,36.0,4.0,0.1,141.25015851459466,182.44305957341606,592.2901253681629,4592.946883494733,4635.614240571158,5046.106312205666,141.15157950436696,144.48139804881066,153.66354302386753,4588.8995735149365,4604.872424039058,4607.01070362411,497.8636100422591,605.0389868905768,643.2855714578182,4957.826832018327,5058.460883999942,5095.52459938277
mid_l10,mid,10,mistral-7b-instruct-v0.2,Mistral-7B-Instruct-v0.2,Chunked prefill,1,10397.056768997572,3.8472426272860085,/home/onceas/Arantir/CUCUMIS-lorekeep/lorekeep/results/chapter5_baseline_variants/ratio_sweep_20step_5models_a100_overnight_baseline/raw/mid_l10/mistral-7b-instruct-v0.2_fixed_chunk_vs_sarathi.json,40.0,36.0,4.0,0.1,142.67778699286282,185.00479310751,597.6519668957916,4670.216821483336,4711.363943392644,5120.516714576515,142.51932300976478,145.91702396865003,155.5344427091768,4656.284716998925,4681.573354988359,4683.041634451365,507.18064900138415,610.2848340000492,648.1834353128215,5040.8450854883995,5132.132508599898,5166.979890670045
mid_l10,mid,10,mistral-7b-instruct-v0.2,Mistral-7B-Instruct-v0.2,Sarathi,1,10390.140428964514,3.849803597311573,/home/onceas/Arantir/CUCUMIS-lorekeep/lorekeep/results/chapter5_baseline_variants/ratio_sweep_20step_5models_a100_overnight_baseline/raw/mid_l10/mistral-7b-instruct-v0.2_fixed_chunk_vs_sarathi.json,40.0,36.0,4.0,0.1,140.98576802643947,171.5902465104595,580.2615229308138,4602.509470510995,4646.978185983608,5035.575070757186,140.80564700998366,143.2785024808254,143.47123025509063,4602.351688023191,4618.929087999277,4620.075452688616,494.8043170152232,592.2225531656295,628.1056438700762,4941.638915013755,5048.471341573168,5087.160154021112
mid_l30,mid,30,mistral-7b-instruct-v0.2,Mistral-7B-Instruct-v0.2,Chunked prefill,0,10410.268387990072,3.8423601111136065,/home/onceas/Arantir/CUCUMIS-lorekeep/lorekeep/results/chapter5_baseline_variants/ratio_sweep_20step_5models_a100_overnight_baseline/raw/mid_l30/mistral-7b-instruct-v0.2_fixed_chunk_vs_sarathi.json,40.0,28.0,12.0,0.3,151.60589502193034,681.409465696197,838.8267412583809,5198.471960989991,5562.411818729015,5733.868140638806,145.637806475861,195.05933277541772,221.4661146706203,4943.425631499849,5243.99834346259,5247.754003078444,657.731988991145,828.4458512556739,841.7109901865479,5523.6141300119925,5698.692699184176,5745.313321794383
mid_l30,mid,30,mistral-7b-instruct-v0.2,Mistral-7B-Instruct-v0.2,Sarathi,0,10365.087093028706,3.8591089144733752,/home/onceas/Arantir/CUCUMIS-lorekeep/lorekeep/results/chapter5_baseline_variants/ratio_sweep_20step_5models_a100_overnight_baseline/raw/mid_l30/mistral-7b-instruct-v0.2_fixed_chunk_vs_sarathi.json,40.0,28.0,12.0,0.3,151.67170751374215,653.4786287986208,818.724481195095,5100.163060997147,5453.436143876752,5624.935383244301,142.56892300909385,196.60017502610572,203.12858329096343,4874.5432650030125,5141.929181484738,5145.6439070700435,637.6540069759358,785.6783768860623,833.1490737519925,5434.886778501095,5594.866353290854,5633.848791820346
mid_l30,mid,30,mistral-7b-instruct-v0.2,Mistral-7B-Instruct-v0.2,Chunked prefill,1,10409.275343001354,3.8427266723128697,/home/onceas/Arantir/CUCUMIS-lorekeep/lorekeep/results/chapter5_baseline_variants/ratio_sweep_20step_5models_a100_overnight_baseline/raw/mid_l30/mistral-7b-instruct-v0.2_fixed_chunk_vs_sarathi.json,40.0,28.0,12.0,0.3,155.17362247919664,673.5831839672755,835.2735941117862,5158.569740480743,5516.2161628948525,5674.933616599301,145.15894601936452,196.60519210156053,220.6980370299425,4925.151374511188,5174.606866011163,5178.303327249596,653.7871699838433,813.3166831743438,842.5080804043682,5497.892098501325,5655.554986587958,5677.795625404688
mid_l30,mid,30,mistral-7b-instruct-v0.2,Mistral-7B-Instruct-v0.2,Sarathi,1,10391.000465955585,3.8494849587442,/home/onceas/Arantir/CUCUMIS-lorekeep/lorekeep/results/chapter5_baseline_variants/ratio_sweep_20step_5models_a100_overnight_baseline/raw/mid_l30/mistral-7b-instruct-v0.2_fixed_chunk_vs_sarathi.json,40.0,28.0,12.0,0.3,149.11631800350733,651.5605576278176,798.9915539714275,5063.840173999779,5415.80737431068,5587.337361883256,142.85320849739946,196.11115991719998,201.3712525862502,4831.895415496547,5102.654873410938,5108.4575035382295,626.3103645178489,782.1687957213726,806.5667400456732,5401.154253515415,5557.522154098842,5596.123131601489
mid_l50,mid,50,mistral-7b-instruct-v0.2,Mistral-7B-Instruct-v0.2,Chunked prefill,0,11253.184629022144,3.55454934035645,/home/onceas/Arantir/CUCUMIS-lorekeep/lorekeep/results/chapter5_baseline_variants/ratio_sweep_20step_5models_a100_overnight_baseline/raw/mid_l50/mistral-7b-instruct-v0.2_fixed_chunk_vs_sarathi.json,40.0,20.0,20.0,0.5,373.74853901565075,906.9217977055814,1067.7667219465366,5916.322987002786,6316.267174197128,6433.365180864348,154.08570901490748,241.72189093660566,266.74392400309443,5774.828625493683,5953.355413029203,6010.319890468381,731.5613955142908,924.8662430793047,1103.5267845419,6131.309917022008,6381.680588785093,6442.41227786697
mid_l50,mid,50,mistral-7b-instruct-v0.2,Mistral-7B-Instruct-v0.2,Sarathi,0,11169.713600014802,3.5811124109705905,/home/onceas/Arantir/CUCUMIS-lorekeep/lorekeep/results/chapter5_baseline_variants/ratio_sweep_20step_5models_a100_overnight_baseline/raw/mid_l50/mistral-7b-instruct-v0.2_fixed_chunk_vs_sarathi.json,40.0,20.0,20.0,0.5,365.49878399819136,883.5930598783307,1057.220874503255,5827.61118299095,6236.71814109548,6353.156461038743,150.82920098211616,244.0438420919236,266.0546660190448,5680.328192509478,5885.393249971094,5927.127292723744,733.265789487632,911.4539129892365,1091.8213008996097,6033.285934507148,6287.150731211295,6364.183413838618
