density_level,target_long_fraction_pct,model_count,case_count,measured_long_fraction_mean,measured_long_fraction_ci95,cucumis_vs_vllm_all_ttft_p99_ms_improvement_mean,cucumis_vs_vllm_all_ttft_p99_ms_improvement_ci95,cucumis_vs_vllm_short_ttft_p99_ms_improvement_mean,cucumis_vs_vllm_short_ttft_p99_ms_improvement_ci95,cucumis_vs_best_chunk_all_ttft_p99_ms_improvement_mean,cucumis_vs_best_chunk_all_ttft_p99_ms_improvement_ci95,cucumis_vs_best_chunk_short_ttft_p99_ms_improvement_mean,cucumis_vs_best_chunk_short_ttft_p99_ms_improvement_ci95,cucumis_vs_vllm_all_completion_p99_ms_improvement_mean,cucumis_vs_vllm_all_completion_p99_ms_improvement_ci95,cucumis_vs_vllm_short_completion_p99_ms_improvement_mean,cucumis_vs_vllm_short_completion_p99_ms_improvement_ci95,cucumis_vs_vllm_round_wall_ratio_mean,cucumis_vs_vllm_round_wall_ratio_ci95,cucumis_vs_vllm_throughput_ratio_mean,cucumis_vs_vllm_throughput_ratio_ci95
high,10,5,5,0.1,0.0,1.5437896929677846,0.13168622022836016,1.0679866884251854,0.13396935605744015,1.527681168476619,0.12193113440927274,1.035920139763549,0.06248436062608433,1.0309544495581022,0.043382297801706944,0.9682313732292877,0.02791077473379804,1.0171420618210694,0.015741546090429978,0.9835517910598701,0.014616021380531032
high,30,5,5,0.3,0.0,1.9121057476505743,0.5017076466489236,1.0041021090283355,0.10713974373412193,1.8931570241526956,0.5146797850158314,1.2237712782249552,0.4687256413283068,1.0784907572795657,0.06637675431933562,1.0393566985306182,0.06762325715804947,1.0292983369290367,0.02102197785986599,0.9719352333162469,0.019621270583075844
high,50,5,5,0.5,0.0,1.8852723864506513,0.26036974397669166,1.2141348055958037,0.31262111546536675,1.803825165734174,0.2539207760066929,1.4279111660836443,0.6387926299681327,1.2239766107832157,0.07627731329954685,1.193379990436797,0.07593311079237557,0.9145076539351692,0.01302686666659248,1.0938062859076438,0.015730949858974035
high,70,5,5,0.7,0.0,3.2440496253196076,0.3199856602347752,1.0910919940706683,0.2218141734170717,3.250046183837152,0.4793720727543091,1.077806203298763,0.20728296875566338,1.3939271013294838,0.11071602860985663,1.3784847645110185,0.10900303200918801,0.82861951996221,0.053880778108251925,1.2126587091932173,0.08401553994682665
high,90,5,5,0.9,0.0,4.186147147942884,1.1092841116581216,0.9784648487340818,0.09761177571733975,4.282878362578209,0.7149344238689107,0.9769466682963762,0.09767358293822903,1.5641857039310434,0.12778813656819968,1.550882605476129,0.13543330372952275,0.7331614969590172,0.08905415153670275,1.3902060479046905,0.2023777274032616
mid,10,5,5,0.1,0.0,1.4639478135079906,0.07376173052475886,0.9644796788981524,0.07767894507484012,1.4258906083611966,0.0871066206739363,0.9165452858231143,0.06075897709708804,1.022965610083789,0.017553381341402493,0.9622292234156125,0.01124237655461487,1.00900608413743,0.005217490579927764,0.9911044387488166,0.005140982801909237
mid,30,5,5,0.3,0.0,1.4998207650836477,0.15481792193843974,0.9223214223294571,0.08231940277812738,1.5068793213838565,0.16825793837381833,0.9230541119406976,0.11630616004149635,1.0200885394550192,0.09167450202755892,0.9837423608511222,0.08759978048667635,1.0253160666179022,0.028101420872499245,0.9760673738827879,0.0265807217566725
mid,50,5,5,0.5,0.0,1.5172135354803051,0.1215763494454543,0.9731949326355522,0.13376842334444997,1.5063738409716776,0.10552658873693332,0.9788261892206659,0.11680286094838825,1.0631348685794848,0.0624193729932846,1.0304382984940672,0.06188391009427975,0.9802395370053479,0.026686952246869816,1.0210316037233844,0.02727345653891248
mid,70,5,5,0.7,0.0,2.7655117591665905,0.1678352225165293,0.9796683964637894,0.08921692565296778,2.6123887985619536,0.2204984745327201,0.979991050449062,0.08882527923112066,1.3032249684638484,0.09875444719019784,1.2773635226509454,0.09548256948014691,0.9101476712559908,0.05207909136404318,1.1030146724655931,0.06797869251450331
mid,90,5,5,0.9,0.0,3.8365740038609077,1.0531751185420997,1.1233163084199425,0.3459411273596812,3.722148311929953,1.0437540532733156,0.9166432259317594,0.04406750424917221,1.4803664966409273,0.15925980828495245,1.475528569326328,0.1629006450458144,0.8581461353605274,0.10567024700238456,1.1882523695551845,0.17666955360517023
