density,density_level,target_long_fraction_pct,model_key,method,method_variant,dispatcher,gpu_count,replica_count,replica_execution,repeat_count,all_completion_p50_ms,all_completion_p90_ms,all_completion_p99_ms,all_ttft_p50_ms,all_ttft_p90_ms,all_ttft_p99_ms,long_completion_p50_ms,long_completion_p90_ms,long_completion_p99_ms,long_request_count,long_ttft_p50_ms,long_ttft_p90_ms,long_ttft_p99_ms,measured_long_fraction,request_count,round_wall_ms,short_completion_p50_ms,short_completion_p90_ms,short_completion_p99_ms,short_request_count,short_ttft_p50_ms,short_ttft_p90_ms,short_ttft_p99_ms,throughput_rps
mid_l10,mid,10,baichuan2-7b-chat,CUCUMIS,CUCUMIS-2A100-RR,round_robin,2.0,2,real_split_workload_sequential_a100,2,4481.638315744931,4651.742583070882,4909.261499184067,140.21718002913985,176.540047238814,476.25423817255063,3231.684280006448,4930.144612916047,4992.793954111985,4.0,412.94461776851676,483.0987569352146,503.63231322320644,0.1,40.0,10167.733842985803,4481.638315744931,4636.748192511732,4665.897401863185,36.0,139.59456476732157,145.81911198911257,153.4490520687541,3.934080028992965
mid_l10,mid,10,baichuan2-7b-chat,CUCUMIS,CUCUMIS-2A100-LB,least_backlog,2.0,2,real_split_workload_sequential_a100,2,4475.57161624718,4535.131251334678,4822.453168914944,139.77781649737153,168.10784684785207,466.14704708568746,3235.0951612606877,4826.615727550234,4839.103403456102,4.0,421.4493385225069,472.6915184466634,492.324932529591,0.1,40.0,10109.553126485895,4475.57161624718,4533.060364250559,4537.563952301571,36.0,139.5833054994,141.5145305218175,145.08717399876332,3.9566582433247657
mid_l30,mid,30,baichuan2-7b-chat,CUCUMIS,CUCUMIS-2A100-RR,round_robin,2.0,2,real_split_workload_sequential_a100,2,4490.532574491226,4718.818128283601,4911.238754324731,140.62025674502365,370.79524149303336,474.3525601390865,3473.142294504214,4893.663315696176,4914.602167951525,12.0,359.32726426108275,436.83440690801945,491.2670671162778,0.3,40.0,10122.515411012915,4490.532574491226,4539.056918059941,4609.016751343152,28.0,139.37807601178065,141.84277655149344,145.14335224870592,3.9515887372614706
mid_l30,mid,30,baichuan2-7b-chat,CUCUMIS,CUCUMIS-2A100-LB,least_backlog,2.0,2,real_split_workload_sequential_a100,2,4520.857855735812,4783.933177008294,4903.421800871147,143.35566299268976,444.4206340878737,505.8419009606587,3831.6750844969647,4872.184022178408,4917.263734856388,12.0,431.16657351492904,503.71337785036303,506.5023725159699,0.3,40.0,10123.360996496967,4520.411301738932,4614.376908456325,4643.220431805239,28.0,141.6089499980444,146.83858523494564,152.24730977672152,3.951304188628815
mid_l50,mid,50,baichuan2-7b-chat,CUCUMIS,CUCUMIS-2A100-RR,round_robin,2.0,2,real_split_workload_sequential_a100,2,4581.114811750012,5445.498530814075,5643.468747327861,179.84064151823986,495.48833161825314,631.768677427608,3834.924002265325,5561.003800883191,5656.47831202863,20.0,423.6443092522677,541.45597104216,643.2209741239784,0.5,40.0,10509.45297250931,4587.80571675743,5307.50248725526,5378.980368279736,20.0,139.29958549852017,167.50309291819582,262.0990444786729,3.806100272825673
mid_l50,mid,50,baichuan2-7b-chat,CUCUMIS,CUCUMIS-2A100-LB,least_backlog,2.0,2,real_split_workload_sequential_a100,2,4642.641953527345,5029.717183471075,5135.184287074953,156.07801300939173,502.2428486379795,560.1194870559266,3696.20338450477,5030.921199166914,5151.571821458638,20.0,433.2079537707614,514.0525580151007,567.304866250488,0.5,40.0,10188.771022002089,4649.9652902566595,4915.626936606714,4948.573610737221,20.0,146.68027649167925,154.58598827244714,156.67374182317872,3.9258905814685896
mid_l70,mid,70,baichuan2-7b-chat,CUCUMIS,CUCUMIS-2A100-RR,round_robin,2.0,2,real_split_workload_sequential_a100,2,4716.722671248135,4981.189248003648,5057.086571810942,361.71027600357775,480.26343385863584,557.2596826805966,3953.3638317661826,5002.642974752234,5060.200957253983,28.0,415.02443549688905,500.58637570473365,564.0462007845053,0.7,40.0,10448.15896051154,4729.981348500587,4758.491183555452,4784.9444482746185,12.0,139.7868192580063,145.97103019768838,147.6418113950058,3.828429269346904
mid_l70,mid,70,baichuan2-7b-chat,CUCUMIS,CUCUMIS-2A100-LB,least_backlog,2.0,2,real_split_workload_sequential_a100,2,4811.045958500472,5394.250418283627,5553.041477244988,384.4763117522234,508.35819063941017,579.4632080110023,3963.552618501126,5461.112639307976,5560.697069783637,28.0,438.1168739928398,513.8415679830359,584.8060160066234,0.7,40.0,10882.68878149251,4997.364851995371,5251.043286846834,5266.039792908414,12.0,146.87038050033152,154.78314211650286,157.45008996105753,3.6761407912668176
mid_l90,mid,90,baichuan2-7b-chat,CUCUMIS,CUCUMIS-2A100-RR,round_robin,2.0,2,real_split_workload_sequential_a100,2,4854.989780011238,5333.016227083863,5510.853887851699,403.9313279790804,530.8986115589505,587.2243315397645,4561.2646350055,5346.590131477569,5511.942415611702,36.0,418.7116135144606,542.1331257530255,587.2720368191949,0.9,40.0,10994.751511969702,5069.185529238894,5301.144162064884,5322.812414424261,4.0,140.6834379886277,151.40798535430804,155.0388698891038,3.638109169411405
mid_l90,mid,90,baichuan2-7b-chat,CUCUMIS,CUCUMIS-2A100-LB,least_backlog,2.0,2,real_split_workload_sequential_a100,2,4727.593814997817,5066.263442294439,5226.940671353368,417.679869235144,499.719358747825,568.6887972604018,3418.5583709768252,5067.730157490587,5227.833257213933,36.0,423.964840505505,503.6098137497902,569.3761583592277,0.9,40.0,10432.402692981163,4806.903380245785,4852.343633532291,4869.115084883524,4.0,139.23940449603833,142.1569426980568,142.57648651633644,3.8342098515908813
