density,model_key,dispatcher,repeat_index,replica_id,req_id,arrival_offset_s,first_latency_ms,finish_latency_ms,scheduled_first_latency_ms,scheduled_finish_latency_ms,first_event_index,finish_event_index,is_short
mid_l10,baichuan2-7b-chat,round_robin,0,0,short_extra_16,0.075645,77.7408319991082,4522.154844016768,77.80606200685725,4522.220074024517,1,491,True
mid_l10,baichuan2-7b-chat,round_robin,0,0,short_extra_17,0.229614,139.9812040035613,4582.189110049512,203.26521497918293,4645.473121025134,6,547,True
mid_l10,baichuan2-7b-chat,round_robin,0,0,short_extra_29,0.53832,138.78191699041054,4592.698697000742,170.76246201759204,4624.6792420279235,15,601,True
mid_l10,baichuan2-7b-chat,round_robin,0,0,short_extra_13,0.786536,140.19772002939135,4596.475084021222,201.5940480050631,4657.871411996894,28,654,True
mid_l10,baichuan2-7b-chat,round_robin,0,0,short_a,1.005053,140.4908309923485,4601.293448009528,193.36612400365993,4654.16874102084,41,693,True
mid_l10,baichuan2-7b-chat,round_robin,0,0,short_extra_07,1.511019,141.02948299841955,4630.300990014803,174.58184895804152,4663.853355974425,77,777,True
mid_l10,baichuan2-7b-chat,round_robin,0,0,long_extra_00,1.786233,363.946336961817,1651.1104149976745,400.79794300254434,1687.9620210384019,115,287,False
mid_l10,baichuan2-7b-chat,round_robin,0,0,short_extra_24,1.962443,148.53863802272826,4630.082674033474,152.32689800905064,4633.870934019797,114,844,True
mid_l10,baichuan2-7b-chat,round_robin,0,0,long_b,2.175246,503.7040140014142,4966.37532603927,515.508898999542,4978.180211037397,179,925,False
mid_l10,baichuan2-7b-chat,round_robin,0,0,long_a,2.60303,369.9790420359932,1349.624043039512,383.3335320232436,1362.9785330267623,218,379,False
mid_l10,baichuan2-7b-chat,round_robin,0,0,short_extra_30,2.727991,149.3613029597327,4599.403447005898,184.70710999099538,4634.74925403716,207,953,True
mid_l10,baichuan2-7b-chat,round_robin,0,0,short_extra_19,3.16621,140.60210599564016,4583.438361005392,169.0860550152138,4611.922310024966,274,1002,True
