density,model_key,dispatcher,replica_id,status,returncode,result_json
mid_l10,baichuan2-7b-chat,round_robin,0,ok,0,/home/onceas/Arantir/CUCUMIS-lorekeep/lorekeep/results/openworkload_ratio_sweep_lora8/unified_distserve_serial_cucumis_2a100_formal/cucumis_2a100/raw/mid_l10/baichuan2-7b-chat/round_robin/replica0.json
mid_l10,baichuan2-7b-chat,round_robin,1,ok,0,/home/onceas/Arantir/CUCUMIS-lorekeep/lorekeep/results/openworkload_ratio_sweep_lora8/unified_distserve_serial_cucumis_2a100_formal/cucumis_2a100/raw/mid_l10/baichuan2-7b-chat/round_robin/replica1.json
mid_l10,baichuan2-7b-chat,least_backlog,0,ok,0,/home/onceas/Arantir/CUCUMIS-lorekeep/lorekeep/results/openworkload_ratio_sweep_lora8/unified_distserve_serial_cucumis_2a100_formal/cucumis_2a100/raw/mid_l10/baichuan2-7b-chat/least_backlog/replica0.json
mid_l10,baichuan2-7b-chat,least_backlog,1,ok,0,/home/onceas/Arantir/CUCUMIS-lorekeep/lorekeep/results/openworkload_ratio_sweep_lora8/unified_distserve_serial_cucumis_2a100_formal/cucumis_2a100/raw/mid_l10/baichuan2-7b-chat/least_backlog/replica1.json
mid_l30,baichuan2-7b-chat,round_robin,0,ok,0,/home/onceas/Arantir/CUCUMIS-lorekeep/lorekeep/results/openworkload_ratio_sweep_lora8/unified_distserve_serial_cucumis_2a100_formal/cucumis_2a100/raw/mid_l30/baichuan2-7b-chat/round_robin/replica0.json
mid_l30,baichuan2-7b-chat,round_robin,1,ok,0,/home/onceas/Arantir/CUCUMIS-lorekeep/lorekeep/results/openworkload_ratio_sweep_lora8/unified_distserve_serial_cucumis_2a100_formal/cucumis_2a100/raw/mid_l30/baichuan2-7b-chat/round_robin/replica1.json
mid_l30,baichuan2-7b-chat,least_backlog,0,ok,0,/home/onceas/Arantir/CUCUMIS-lorekeep/lorekeep/results/openworkload_ratio_sweep_lora8/unified_distserve_serial_cucumis_2a100_formal/cucumis_2a100/raw/mid_l30/baichuan2-7b-chat/least_backlog/replica0.json
mid_l30,baichuan2-7b-chat,least_backlog,1,ok,0,/home/onceas/Arantir/CUCUMIS-lorekeep/lorekeep/results/openworkload_ratio_sweep_lora8/unified_distserve_serial_cucumis_2a100_formal/cucumis_2a100/raw/mid_l30/baichuan2-7b-chat/least_backlog/replica1.json
mid_l50,baichuan2-7b-chat,round_robin,0,ok,0,/home/onceas/Arantir/CUCUMIS-lorekeep/lorekeep/results/openworkload_ratio_sweep_lora8/unified_distserve_serial_cucumis_2a100_formal/cucumis_2a100/raw/mid_l50/baichuan2-7b-chat/round_robin/replica0.json
mid_l50,baichuan2-7b-chat,round_robin,1,ok,0,/home/onceas/Arantir/CUCUMIS-lorekeep/lorekeep/results/openworkload_ratio_sweep_lora8/unified_distserve_serial_cucumis_2a100_formal/cucumis_2a100/raw/mid_l50/baichuan2-7b-chat/round_robin/replica1.json
mid_l50,baichuan2-7b-chat,least_backlog,0,ok,0,/home/onceas/Arantir/CUCUMIS-lorekeep/lorekeep/results/openworkload_ratio_sweep_lora8/unified_distserve_serial_cucumis_2a100_formal/cucumis_2a100/raw/mid_l50/baichuan2-7b-chat/least_backlog/replica0.json
mid_l50,baichuan2-7b-chat,least_backlog,1,ok,0,/home/onceas/Arantir/CUCUMIS-lorekeep/lorekeep/results/openworkload_ratio_sweep_lora8/unified_distserve_serial_cucumis_2a100_formal/cucumis_2a100/raw/mid_l50/baichuan2-7b-chat/least_backlog/replica1.json
mid_l70,baichuan2-7b-chat,round_robin,0,ok,0,/home/onceas/Arantir/CUCUMIS-lorekeep/lorekeep/results/openworkload_ratio_sweep_lora8/unified_distserve_serial_cucumis_2a100_formal/cucumis_2a100/raw/mid_l70/baichuan2-7b-chat/round_robin/replica0.json
mid_l70,baichuan2-7b-chat,round_robin,1,ok,0,/home/onceas/Arantir/CUCUMIS-lorekeep/lorekeep/results/openworkload_ratio_sweep_lora8/unified_distserve_serial_cucumis_2a100_formal/cucumis_2a100/raw/mid_l70/baichuan2-7b-chat/round_robin/replica1.json
mid_l70,baichuan2-7b-chat,least_backlog,0,ok,0,/home/onceas/Arantir/CUCUMIS-lorekeep/lorekeep/results/openworkload_ratio_sweep_lora8/unified_distserve_serial_cucumis_2a100_formal/cucumis_2a100/raw/mid_l70/baichuan2-7b-chat/least_backlog/replica0.json
mid_l70,baichuan2-7b-chat,least_backlog,1,ok,0,/home/onceas/Arantir/CUCUMIS-lorekeep/lorekeep/results/openworkload_ratio_sweep_lora8/unified_distserve_serial_cucumis_2a100_formal/cucumis_2a100/raw/mid_l70/baichuan2-7b-chat/least_backlog/replica1.json
mid_l90,baichuan2-7b-chat,round_robin,0,ok,0,/home/onceas/Arantir/CUCUMIS-lorekeep/lorekeep/results/openworkload_ratio_sweep_lora8/unified_distserve_serial_cucumis_2a100_formal/cucumis_2a100/raw/mid_l90/baichuan2-7b-chat/round_robin/replica0.json
mid_l90,baichuan2-7b-chat,round_robin,1,ok,0,/home/onceas/Arantir/CUCUMIS-lorekeep/lorekeep/results/openworkload_ratio_sweep_lora8/unified_distserve_serial_cucumis_2a100_formal/cucumis_2a100/raw/mid_l90/baichuan2-7b-chat/round_robin/replica1.json
mid_l90,baichuan2-7b-chat,least_backlog,0,ok,0,/home/onceas/Arantir/CUCUMIS-lorekeep/lorekeep/results/openworkload_ratio_sweep_lora8/unified_distserve_serial_cucumis_2a100_formal/cucumis_2a100/raw/mid_l90/baichuan2-7b-chat/least_backlog/replica0.json
mid_l90,baichuan2-7b-chat,least_backlog,1,ok,0,/home/onceas/Arantir/CUCUMIS-lorekeep/lorekeep/results/openworkload_ratio_sweep_lora8/unified_distserve_serial_cucumis_2a100_formal/cucumis_2a100/raw/mid_l90/baichuan2-7b-chat/least_backlog/replica1.json
high_l10,baichuan2-7b-chat,round_robin,0,ok,0,/home/onceas/Arantir/CUCUMIS-lorekeep/lorekeep/results/openworkload_ratio_sweep_lora8/unified_distserve_serial_cucumis_2a100_formal/cucumis_2a100/raw/high_l10/baichuan2-7b-chat/round_robin/replica0.json
high_l10,baichuan2-7b-chat,round_robin,1,ok,0,/home/onceas/Arantir/CUCUMIS-lorekeep/lorekeep/results/openworkload_ratio_sweep_lora8/unified_distserve_serial_cucumis_2a100_formal/cucumis_2a100/raw/high_l10/baichuan2-7b-chat/round_robin/replica1.json
high_l10,baichuan2-7b-chat,least_backlog,0,ok,0,/home/onceas/Arantir/CUCUMIS-lorekeep/lorekeep/results/openworkload_ratio_sweep_lora8/unified_distserve_serial_cucumis_2a100_formal/cucumis_2a100/raw/high_l10/baichuan2-7b-chat/least_backlog/replica0.json
high_l10,baichuan2-7b-chat,least_backlog,1,ok,0,/home/onceas/Arantir/CUCUMIS-lorekeep/lorekeep/results/openworkload_ratio_sweep_lora8/unified_distserve_serial_cucumis_2a100_formal/cucumis_2a100/raw/high_l10/baichuan2-7b-chat/least_backlog/replica1.json
high_l30,baichuan2-7b-chat,round_robin,0,ok,0,/home/onceas/Arantir/CUCUMIS-lorekeep/lorekeep/results/openworkload_ratio_sweep_lora8/unified_distserve_serial_cucumis_2a100_formal/cucumis_2a100/raw/high_l30/baichuan2-7b-chat/round_robin/replica0.json
high_l30,baichuan2-7b-chat,round_robin,1,ok,0,/home/onceas/Arantir/CUCUMIS-lorekeep/lorekeep/results/openworkload_ratio_sweep_lora8/unified_distserve_serial_cucumis_2a100_formal/cucumis_2a100/raw/high_l30/baichuan2-7b-chat/round_robin/replica1.json
high_l30,baichuan2-7b-chat,least_backlog,0,ok,0,/home/onceas/Arantir/CUCUMIS-lorekeep/lorekeep/results/openworkload_ratio_sweep_lora8/unified_distserve_serial_cucumis_2a100_formal/cucumis_2a100/raw/high_l30/baichuan2-7b-chat/least_backlog/replica0.json
high_l30,baichuan2-7b-chat,least_backlog,1,ok,0,/home/onceas/Arantir/CUCUMIS-lorekeep/lorekeep/results/openworkload_ratio_sweep_lora8/unified_distserve_serial_cucumis_2a100_formal/cucumis_2a100/raw/high_l30/baichuan2-7b-chat/least_backlog/replica1.json
high_l50,baichuan2-7b-chat,round_robin,0,ok,0,/home/onceas/Arantir/CUCUMIS-lorekeep/lorekeep/results/openworkload_ratio_sweep_lora8/unified_distserve_serial_cucumis_2a100_formal/cucumis_2a100/raw/high_l50/baichuan2-7b-chat/round_robin/replica0.json
high_l50,baichuan2-7b-chat,round_robin,1,ok,0,/home/onceas/Arantir/CUCUMIS-lorekeep/lorekeep/results/openworkload_ratio_sweep_lora8/unified_distserve_serial_cucumis_2a100_formal/cucumis_2a100/raw/high_l50/baichuan2-7b-chat/round_robin/replica1.json
