density,density_level,target_long_fraction_pct,model_key,model_label,method,method_variant,resource_profile,kv_profile,repeat_index,req_id,prefill_service_ms,decode_service_ms,decode_first_token_ms,source_first_latency_ms,source_finish_latency_ms
high_l10,high,10,baichuan2-7b-chat,baichuan-inc--Baichuan2-7B-Chat,DistServe,DistServe-2A100,distserve_2a100,realistic_pcie,0,long_a,215.41439701104537,1035.5788050219417,8.456240000668913,223.87063701171428,1250.993202032987
high_l10,high,10,baichuan2-7b-chat,baichuan-inc--Baichuan2-7B-Chat,DistServe,DistServe-2A100,distserve_2a100,realistic_pcie,0,long_b,267.22567703109235,4622.778364981059,6.454810965806246,273.6804879968986,4890.004042012151
high_l10,high,10,baichuan2-7b-chat,baichuan-inc--Baichuan2-7B-Chat,DistServe,DistServe-2A100,distserve_2a100,realistic_pcie,0,long_extra_00,222.3257980076596,1323.7697359872982,6.337841972708702,228.66363998036832,1546.0955339949578
high_l10,high,10,baichuan2-7b-chat,baichuan-inc--Baichuan2-7B-Chat,DistServe,DistServe-2A100,distserve_2a100,realistic_pcie,0,long_extra_01,218.64951599854976,4639.271288004238,6.320845044683665,224.97036104323342,4857.920804002788
high_l10,high,10,baichuan2-7b-chat,baichuan-inc--Baichuan2-7B-Chat,DistServe,DistServe-2A100,distserve_2a100,realistic_pcie,0,mid_b,75.87380200857297,4612.097682023887,1.726512040477246,77.60031404905021,4687.97148403246
high_l10,high,10,baichuan2-7b-chat,baichuan-inc--Baichuan2-7B-Chat,DistServe,DistServe-2A100,distserve_2a100,realistic_pcie,0,short_a,76.68789103627205,4608.1872749491595,1.7460629460401833,78.43395398231223,4684.8751659854315
high_l10,high,10,baichuan2-7b-chat,baichuan-inc--Baichuan2-7B-Chat,DistServe,DistServe-2A100,distserve_2a100,realistic_pcie,0,short_extra_00,78.70987500064075,4619.336765026674,0.2974399831146002,79.00731498375535,4698.046640027314
high_l10,high,10,baichuan2-7b-chat,baichuan-inc--Baichuan2-7B-Chat,DistServe,DistServe-2A100,distserve_2a100,realistic_pcie,0,short_extra_01,76.9332519848831,4633.962528023403,1.2188510154373944,78.1521030003205,4710.895780008286
high_l10,high,10,baichuan2-7b-chat,baichuan-inc--Baichuan2-7B-Chat,DistServe,DistServe-2A100,distserve_2a100,realistic_pcie,0,short_extra_02,77.71174499066547,4619.834974000696,1.4565319870598614,79.16827697772533,4697.546718991362
high_l10,high,10,baichuan2-7b-chat,baichuan-inc--Baichuan2-7B-Chat,DistServe,DistServe-2A100,distserve_2a100,realistic_pcie,0,short_extra_03,77.69282098161057,4617.484378977679,2.61609599692747,80.30891697853804,4695.177199959289
