density,model_key,status,result_json
mid_l10,baichuan2-7b-chat,ok,/home/onceas/Arantir/CUCUMIS-lorekeep/lorekeep/results/openworkload_ratio_sweep_lora8/unified_distserve_continuous_cucumis_2a100_replay/distserve_serial/raw/mid_l10/baichuan2-7b-chat/distserve_serial.json
mid_l30,baichuan2-7b-chat,ok,/home/onceas/Arantir/CUCUMIS-lorekeep/lorekeep/results/openworkload_ratio_sweep_lora8/unified_distserve_continuous_cucumis_2a100_replay/distserve_serial/raw/mid_l30/baichuan2-7b-chat/distserve_serial.json
mid_l50,baichuan2-7b-chat,ok,/home/onceas/Arantir/CUCUMIS-lorekeep/lorekeep/results/openworkload_ratio_sweep_lora8/unified_distserve_continuous_cucumis_2a100_replay/distserve_serial/raw/mid_l50/baichuan2-7b-chat/distserve_serial.json
mid_l70,baichuan2-7b-chat,ok,/home/onceas/Arantir/CUCUMIS-lorekeep/lorekeep/results/openworkload_ratio_sweep_lora8/unified_distserve_continuous_cucumis_2a100_replay/distserve_serial/raw/mid_l70/baichuan2-7b-chat/distserve_serial.json
mid_l90,baichuan2-7b-chat,ok,/home/onceas/Arantir/CUCUMIS-lorekeep/lorekeep/results/openworkload_ratio_sweep_lora8/unified_distserve_continuous_cucumis_2a100_replay/distserve_serial/raw/mid_l90/baichuan2-7b-chat/distserve_serial.json
high_l10,baichuan2-7b-chat,ok,/home/onceas/Arantir/CUCUMIS-lorekeep/lorekeep/results/openworkload_ratio_sweep_lora8/unified_distserve_continuous_cucumis_2a100_replay/distserve_serial/raw/high_l10/baichuan2-7b-chat/distserve_serial.json
high_l30,baichuan2-7b-chat,ok,/home/onceas/Arantir/CUCUMIS-lorekeep/lorekeep/results/openworkload_ratio_sweep_lora8/unified_distserve_continuous_cucumis_2a100_replay/distserve_serial/raw/high_l30/baichuan2-7b-chat/distserve_serial.json
high_l50,baichuan2-7b-chat,ok,/home/onceas/Arantir/CUCUMIS-lorekeep/lorekeep/results/openworkload_ratio_sweep_lora8/unified_distserve_continuous_cucumis_2a100_replay/distserve_serial/raw/high_l50/baichuan2-7b-chat/distserve_serial.json
high_l70,baichuan2-7b-chat,ok,/home/onceas/Arantir/CUCUMIS-lorekeep/lorekeep/results/openworkload_ratio_sweep_lora8/unified_distserve_continuous_cucumis_2a100_replay/distserve_serial/raw/high_l70/baichuan2-7b-chat/distserve_serial.json
high_l90,baichuan2-7b-chat,ok,/home/onceas/Arantir/CUCUMIS-lorekeep/lorekeep/results/openworkload_ratio_sweep_lora8/unified_distserve_continuous_cucumis_2a100_replay/distserve_serial/raw/high_l90/baichuan2-7b-chat/distserve_serial.json
mid_l10,gemma-2-9b-it,ok,/home/onceas/Arantir/CUCUMIS-lorekeep/lorekeep/results/openworkload_ratio_sweep_lora8/unified_distserve_continuous_cucumis_2a100_replay/distserve_serial/raw/mid_l10/gemma-2-9b-it/distserve_serial.json
mid_l30,gemma-2-9b-it,ok,/home/onceas/Arantir/CUCUMIS-lorekeep/lorekeep/results/openworkload_ratio_sweep_lora8/unified_distserve_continuous_cucumis_2a100_replay/distserve_serial/raw/mid_l30/gemma-2-9b-it/distserve_serial.json
mid_l50,gemma-2-9b-it,ok,/home/onceas/Arantir/CUCUMIS-lorekeep/lorekeep/results/openworkload_ratio_sweep_lora8/unified_distserve_continuous_cucumis_2a100_replay/distserve_serial/raw/mid_l50/gemma-2-9b-it/distserve_serial.json
mid_l70,gemma-2-9b-it,ok,/home/onceas/Arantir/CUCUMIS-lorekeep/lorekeep/results/openworkload_ratio_sweep_lora8/unified_distserve_continuous_cucumis_2a100_replay/distserve_serial/raw/mid_l70/gemma-2-9b-it/distserve_serial.json
mid_l90,gemma-2-9b-it,ok,/home/onceas/Arantir/CUCUMIS-lorekeep/lorekeep/results/openworkload_ratio_sweep_lora8/unified_distserve_continuous_cucumis_2a100_replay/distserve_serial/raw/mid_l90/gemma-2-9b-it/distserve_serial.json
high_l10,gemma-2-9b-it,ok,/home/onceas/Arantir/CUCUMIS-lorekeep/lorekeep/results/openworkload_ratio_sweep_lora8/unified_distserve_continuous_cucumis_2a100_replay/distserve_serial/raw/high_l10/gemma-2-9b-it/distserve_serial.json
high_l30,gemma-2-9b-it,ok,/home/onceas/Arantir/CUCUMIS-lorekeep/lorekeep/results/openworkload_ratio_sweep_lora8/unified_distserve_continuous_cucumis_2a100_replay/distserve_serial/raw/high_l30/gemma-2-9b-it/distserve_serial.json
high_l50,gemma-2-9b-it,ok,/home/onceas/Arantir/CUCUMIS-lorekeep/lorekeep/results/openworkload_ratio_sweep_lora8/unified_distserve_continuous_cucumis_2a100_replay/distserve_serial/raw/high_l50/gemma-2-9b-it/distserve_serial.json
high_l70,gemma-2-9b-it,ok,/home/onceas/Arantir/CUCUMIS-lorekeep/lorekeep/results/openworkload_ratio_sweep_lora8/unified_distserve_continuous_cucumis_2a100_replay/distserve_serial/raw/high_l70/gemma-2-9b-it/distserve_serial.json
high_l90,gemma-2-9b-it,ok,/home/onceas/Arantir/CUCUMIS-lorekeep/lorekeep/results/openworkload_ratio_sweep_lora8/unified_distserve_continuous_cucumis_2a100_replay/distserve_serial/raw/high_l90/gemma-2-9b-it/distserve_serial.json
mid_l10,gemma-7b-it,ok,/home/onceas/Arantir/CUCUMIS-lorekeep/lorekeep/results/openworkload_ratio_sweep_lora8/unified_distserve_continuous_cucumis_2a100_replay/distserve_serial/raw/mid_l10/gemma-7b-it/distserve_serial.json
mid_l30,gemma-7b-it,ok,/home/onceas/Arantir/CUCUMIS-lorekeep/lorekeep/results/openworkload_ratio_sweep_lora8/unified_distserve_continuous_cucumis_2a100_replay/distserve_serial/raw/mid_l30/gemma-7b-it/distserve_serial.json
mid_l50,gemma-7b-it,ok,/home/onceas/Arantir/CUCUMIS-lorekeep/lorekeep/results/openworkload_ratio_sweep_lora8/unified_distserve_continuous_cucumis_2a100_replay/distserve_serial/raw/mid_l50/gemma-7b-it/distserve_serial.json
mid_l70,gemma-7b-it,ok,/home/onceas/Arantir/CUCUMIS-lorekeep/lorekeep/results/openworkload_ratio_sweep_lora8/unified_distserve_continuous_cucumis_2a100_replay/distserve_serial/raw/mid_l70/gemma-7b-it/distserve_serial.json
mid_l90,gemma-7b-it,ok,/home/onceas/Arantir/CUCUMIS-lorekeep/lorekeep/results/openworkload_ratio_sweep_lora8/unified_distserve_continuous_cucumis_2a100_replay/distserve_serial/raw/mid_l90/gemma-7b-it/distserve_serial.json
high_l10,gemma-7b-it,ok,/home/onceas/Arantir/CUCUMIS-lorekeep/lorekeep/results/openworkload_ratio_sweep_lora8/unified_distserve_continuous_cucumis_2a100_replay/distserve_serial/raw/high_l10/gemma-7b-it/distserve_serial.json
high_l30,gemma-7b-it,ok,/home/onceas/Arantir/CUCUMIS-lorekeep/lorekeep/results/openworkload_ratio_sweep_lora8/unified_distserve_continuous_cucumis_2a100_replay/distserve_serial/raw/high_l30/gemma-7b-it/distserve_serial.json
high_l50,gemma-7b-it,ok,/home/onceas/Arantir/CUCUMIS-lorekeep/lorekeep/results/openworkload_ratio_sweep_lora8/unified_distserve_continuous_cucumis_2a100_replay/distserve_serial/raw/high_l50/gemma-7b-it/distserve_serial.json
high_l70,gemma-7b-it,ok,/home/onceas/Arantir/CUCUMIS-lorekeep/lorekeep/results/openworkload_ratio_sweep_lora8/unified_distserve_continuous_cucumis_2a100_replay/distserve_serial/raw/high_l70/gemma-7b-it/distserve_serial.json
high_l90,gemma-7b-it,ok,/home/onceas/Arantir/CUCUMIS-lorekeep/lorekeep/results/openworkload_ratio_sweep_lora8/unified_distserve_continuous_cucumis_2a100_replay/distserve_serial/raw/high_l90/gemma-7b-it/distserve_serial.json
mid_l10,mistral-7b-instruct-v0.2,ok,/home/onceas/Arantir/CUCUMIS-lorekeep/lorekeep/results/openworkload_ratio_sweep_lora8/unified_distserve_continuous_cucumis_2a100_replay/distserve_serial/raw/mid_l10/mistral-7b-instruct-v0.2/distserve_serial.json
mid_l30,mistral-7b-instruct-v0.2,ok,/home/onceas/Arantir/CUCUMIS-lorekeep/lorekeep/results/openworkload_ratio_sweep_lora8/unified_distserve_continuous_cucumis_2a100_replay/distserve_serial/raw/mid_l30/mistral-7b-instruct-v0.2/distserve_serial.json
mid_l50,mistral-7b-instruct-v0.2,ok,/home/onceas/Arantir/CUCUMIS-lorekeep/lorekeep/results/openworkload_ratio_sweep_lora8/unified_distserve_continuous_cucumis_2a100_replay/distserve_serial/raw/mid_l50/mistral-7b-instruct-v0.2/distserve_serial.json
mid_l70,mistral-7b-instruct-v0.2,ok,/home/onceas/Arantir/CUCUMIS-lorekeep/lorekeep/results/openworkload_ratio_sweep_lora8/unified_distserve_continuous_cucumis_2a100_replay/distserve_serial/raw/mid_l70/mistral-7b-instruct-v0.2/distserve_serial.json
mid_l90,mistral-7b-instruct-v0.2,ok,/home/onceas/Arantir/CUCUMIS-lorekeep/lorekeep/results/openworkload_ratio_sweep_lora8/unified_distserve_continuous_cucumis_2a100_replay/distserve_serial/raw/mid_l90/mistral-7b-instruct-v0.2/distserve_serial.json
high_l10,mistral-7b-instruct-v0.2,ok,/home/onceas/Arantir/CUCUMIS-lorekeep/lorekeep/results/openworkload_ratio_sweep_lora8/unified_distserve_continuous_cucumis_2a100_replay/distserve_serial/raw/high_l10/mistral-7b-instruct-v0.2/distserve_serial.json
high_l30,mistral-7b-instruct-v0.2,ok,/home/onceas/Arantir/CUCUMIS-lorekeep/lorekeep/results/openworkload_ratio_sweep_lora8/unified_distserve_continuous_cucumis_2a100_replay/distserve_serial/raw/high_l30/mistral-7b-instruct-v0.2/distserve_serial.json
high_l50,mistral-7b-instruct-v0.2,ok,/home/onceas/Arantir/CUCUMIS-lorekeep/lorekeep/results/openworkload_ratio_sweep_lora8/unified_distserve_continuous_cucumis_2a100_replay/distserve_serial/raw/high_l50/mistral-7b-instruct-v0.2/distserve_serial.json
high_l70,mistral-7b-instruct-v0.2,ok,/home/onceas/Arantir/CUCUMIS-lorekeep/lorekeep/results/openworkload_ratio_sweep_lora8/unified_distserve_continuous_cucumis_2a100_replay/distserve_serial/raw/high_l70/mistral-7b-instruct-v0.2/distserve_serial.json
high_l90,mistral-7b-instruct-v0.2,ok,/home/onceas/Arantir/CUCUMIS-lorekeep/lorekeep/results/openworkload_ratio_sweep_lora8/unified_distserve_continuous_cucumis_2a100_replay/distserve_serial/raw/high_l90/mistral-7b-instruct-v0.2/distserve_serial.json
mid_l10,qwen2.5-7b-instruct,ok,/home/onceas/Arantir/CUCUMIS-lorekeep/lorekeep/results/openworkload_ratio_sweep_lora8/unified_distserve_continuous_cucumis_2a100_replay/distserve_serial/raw/mid_l10/qwen2.5-7b-instruct/distserve_serial.json
mid_l30,qwen2.5-7b-instruct,ok,/home/onceas/Arantir/CUCUMIS-lorekeep/lorekeep/results/openworkload_ratio_sweep_lora8/unified_distserve_continuous_cucumis_2a100_replay/distserve_serial/raw/mid_l30/qwen2.5-7b-instruct/distserve_serial.json
