density,density_level,target_long_fraction_pct,model_key,distserve_variant,distserve_decode_replay_mode,distserve_decode_batch_size,distserve_decode_batch_alpha,cucumis_variant,cucumis_dispatcher,comparison_scope,distserve_all_ttft_p99_ms,cucumis2_all_ttft_p99_ms,distserve_vs_cucumis2_all_ttft_p99_ms_ratio,distserve_short_ttft_p99_ms,cucumis2_short_ttft_p99_ms,distserve_vs_cucumis2_short_ttft_p99_ms_ratio,distserve_long_ttft_p99_ms,cucumis2_long_ttft_p99_ms,distserve_vs_cucumis2_long_ttft_p99_ms_ratio,distserve_all_completion_p99_ms,cucumis2_all_completion_p99_ms,distserve_vs_cucumis2_all_completion_p99_ms_ratio,distserve_short_completion_p99_ms,cucumis2_short_completion_p99_ms,distserve_vs_cucumis2_short_completion_p99_ms_ratio,distserve_long_completion_p99_ms,cucumis2_long_completion_p99_ms,distserve_vs_cucumis2_long_completion_p99_ms_ratio,distserve_round_wall_ms,cucumis2_round_wall_ms,distserve_vs_cucumis2_round_wall_ms_ratio,distserve_throughput_rps,cucumis2_throughput_rps,distserve_vs_cucumis2_throughput_rps_ratio
mid_l10,mid,10,baichuan2-7b-chat,DistServe-2A100,continuous_batching,16,0.08,CUCUMIS-2A100-RR,round_robin,equal_resource_2xa100_real_split,322.4765970726665,476.25423817255063,0.6771101886884011,294.3297056398428,153.4490520687541,1.9180939971396238,318.8035670001916,503.63231322320644,0.6330085632509843,23606.261819447547,4909.261499184067,4.808515868093597,23611.49700514926,4665.897401863185,5.060440676582542,17922.539127831526,4992.793954111985,3.5896813072109275,28979.688859689486,10167.733842985803,2.8501620230432256,1.3806221135879528,3.934080028992965,0.3509390005829039
mid_l10,mid,10,baichuan2-7b-chat,DistServe-2A100,continuous_batching,16,0.08,CUCUMIS-2A100-LB,least_backlog,equal_resource_2xa100_real_split,322.4765970726665,466.14704708568746,0.6917915689668386,294.3297056398428,145.08717399876332,2.02864042029209,318.8035670001916,492.324932529591,0.6475470688883506,23606.261819447547,4822.453168914944,4.8950733148869485,23611.49700514926,4537.563952301571,5.203562363715644,17922.539127831526,4839.103403456102,3.7036900503161796,28979.688859689486,10109.553126485895,2.866564772657058,1.3806221135879528,3.9566582433247657,0.34893640761548844
mid_l30,mid,30,baichuan2-7b-chat,DistServe-2A100,continuous_batching,16,0.08,CUCUMIS-2A100-RR,round_robin,equal_resource_2xa100_real_split,567.4334766672112,474.3525601390865,1.1962272882027496,551.5947070085892,145.14335224870592,3.8003442697356276,564.2464911618025,491.2670671162778,1.1485534629339427,23668.619570457235,4911.238754324731,4.819276918601271,23696.406022121777,4609.016751343152,5.141314796744059,19163.6249152936,4914.602167951525,3.8993237418607305,28958.520691790894,10122.515411012915,2.860802825776399,1.38128628617276,3.9515887372614706,0.34955213662493095
mid_l30,mid,30,baichuan2-7b-chat,DistServe-2A100,continuous_batching,16,0.08,CUCUMIS-2A100-LB,least_backlog,equal_resource_2xa100_real_split,567.4334766672112,505.8419009606587,1.1217605255507346,551.5947070085892,152.24730977672152,3.6230177585241483,564.2464911618025,506.5023725159699,1.11400562322936,23668.619570457235,4903.421800871147,4.826959729683513,23696.406022121777,4643.220431805239,5.103441968812333,19163.6249152936,4917.263734856388,3.897213155245432,28958.520691790894,10123.360996496967,2.860563868246084,1.38128628617276,3.951304188628815,0.3495773092205526
mid_l50,mid,50,baichuan2-7b-chat,DistServe-2A100,continuous_batching,16,0.08,CUCUMIS-2A100-RR,round_robin,equal_resource_2xa100_real_split,727.0991018979555,631.768677427608,1.1508945091398124,565.2560708350077,262.0990444786729,2.1566506354852537,759.3830423871138,643.2209741239784,1.1805943415034623,23277.111825294665,5643.468747327861,4.124610743404258,18836.886074712056,5378.980368279736,3.5019436370868045,23321.9052031779,5656.47831202863,4.123043334857899,28660.361999797642,10509.45297250931,2.7271031208539194,1.3956789168344028,3.806100272825673,0.3666952567695338
mid_l50,mid,50,baichuan2-7b-chat,DistServe-2A100,continuous_batching,16,0.08,CUCUMIS-2A100-LB,least_backlog,equal_resource_2xa100_real_split,727.0991018979555,560.1194870559266,1.2981142750803034,565.2560708350077,156.67374182317872,3.607854540634851,759.3830423871138,567.304866250488,1.3385801666150623,23277.111825294665,5135.184287074953,4.532867862966904,18836.886074712056,4948.573610737221,3.8065284173686975,23321.9052031779,5151.571821458638,4.527143561510987,28660.361999797642,10188.771022002089,2.8129361174087797,1.3956789168344028,3.9258905814685896,0.3555063208899495
mid_l70,mid,70,baichuan2-7b-chat,DistServe-2A100,continuous_batching,16,0.08,CUCUMIS-2A100-RR,round_robin,equal_resource_2xa100_real_split,1793.9979611320437,557.2596826805966,3.219321291112147,575.2870551438918,147.6418113950058,3.8965049921038277,1816.513497539345,564.0462007845053,3.220504800870641,23086.085704730016,5057.086571810942,4.565096004766019,17620.094041272412,4784.9444482746185,3.6824030522707454,23092.252719457894,5060.200957253983,4.563505069172066,28491.799318453126,10448.15896051154,2.7269683995177436,1.4039238506146798,3.828429269346904,0.36671014451160977
mid_l70,mid,70,baichuan2-7b-chat,DistServe-2A100,continuous_batching,16,0.08,CUCUMIS-2A100-LB,least_backlog,equal_resource_2xa100_real_split,1793.9979611320437,579.4632080110023,3.0959652594509177,575.2870551438918,157.45008996105753,3.653774064442763,1816.513497539345,584.8060160066234,3.1061812769018635,23086.085704730016,5553.041477244988,4.157376781594587,17620.094041272412,5266.039792908414,3.3459857377076334,23092.252719457894,5560.697069783637,4.152762222013363,28491.799318453126,10882.68878149251,2.6180845460643236,1.4039238506146798,3.6761407912668176,0.38190154575958996
mid_l90,mid,90,baichuan2-7b-chat,DistServe-2A100,continuous_batching,16,0.08,CUCUMIS-2A100-RR,round_robin,equal_resource_2xa100_real_split,2977.393523367942,587.2243315397645,5.070282962493908,341.0978633059822,155.0388698891038,2.200079654540585,2984.9792976485382,587.2720368191949,5.082788061587091,23211.59512215967,5510.853887851699,4.211977961043033,10032.862090017119,5322.812414424261,1.8848798922218486,23213.59904537112,5511.942415611702,4.211509717449567,28569.732117617867,10994.751511969702,2.598488204714289,1.4000841971010445,3.638109169411405,0.3848384234515861
mid_l90,mid,90,baichuan2-7b-chat,DistServe-2A100,continuous_batching,16,0.08,CUCUMIS-2A100-LB,least_backlog,equal_resource_2xa100_real_split,2977.393523367942,568.6887972604018,5.2355410159497096,341.0978633059822,142.57648651633644,2.392385109496292,2984.9792976485382,569.3761583592277,5.242543534401507,23211.59512215967,5226.940671353368,4.440761160610167,10032.862090017119,4869.115084883524,2.060510362789488,23213.59904537112,5227.833257213933,4.440386275392099,28569.732117617867,10432.402692981163,2.7385572584194198,1.4000841971010445,3.8342098515908813,0.36515586034502645
