density,density_level,target_long_fraction_pct,model_key,model_label,method,method_variant,resource_profile,kv_profile,kv_profile_label,paper_default_kv,ttft_mode,gpu_count,physical_measurement_gpu_count,prefill_workers,decode_workers,output_tokens,decode_replay_mode,decode_batch_size,decode_batch_alpha,repeat_count,stage_measurement,execution_mode,kv_bytes_per_token,all_completion_p50_ms,all_completion_p90_ms,all_completion_p99_ms,all_tpot_p50_ms,all_tpot_p90_ms,all_tpot_p99_ms,all_ttft_p50_ms,all_ttft_p90_ms,all_ttft_p99_ms,kv_transfer_mean_ms,long_completion_p50_ms,long_completion_p90_ms,long_completion_p99_ms,long_request_count,long_tpot_p50_ms,long_tpot_p90_ms,long_tpot_p99_ms,long_ttft_p50_ms,long_ttft_p90_ms,long_ttft_p99_ms,measured_long_fraction,request_count,round_wall_ms,short_completion_p50_ms,short_completion_p90_ms,short_completion_p99_ms,short_request_count,short_tpot_p50_ms,short_tpot_p90_ms,short_tpot_p99_ms,short_ttft_p50_ms,short_ttft_p90_ms,short_ttft_p99_ms,throughput_rps,tpot_mean_ms,dispatcher,replica_count,replica_execution
high_l10,high,10,baichuan2-7b-chat,baichuan-inc--Baichuan2-7B-Chat,DistServe,DistServe-2A100,distserve_2a100,realistic_pcie,realistic PCIe,True,prefill_finish,2.0,1,1,1,64,continuous_batching,16,0.08,2,real_a100_individual_vllm_lora,stage_measurement_logical_pd_replay_continuous_batching,524288,18459.054008279778,24129.474226836584,24349.93970884571,158.1642075899238,159.74409221986204,159.8438410264797,179.12175777131606,424.7596819729305,460.83748360094694,5.857337600000002,14263.227982665565,18229.244449614853,18336.04807607873,4.0,159.69554704028667,159.77496081316926,159.78735592441066,319.7079047500902,422.24474507962043,429.5915916910441,0.1,40.0,28413.32853605303,18523.842959641675,24144.065475377225,24353.838647365606,36.0,157.8887114762493,159.72998653946175,159.82732778828392,143.3875117692687,358.12737747745314,461.4360252818583,1.4077908375661234,149.50190107461265,,,
high_l10,high,10,gemma-2-9b-it,google--gemma-2-9b-it,DistServe,DistServe-2A100,distserve_2a100,realistic_pcie,realistic PCIe,True,prefill_finish,2.0,1,1,1,64,continuous_batching,16,0.08,2,real_a100_individual_vllm_lora,stage_measurement_logical_pd_replay_continuous_batching,301056,34818.69416676115,46156.728131354525,46293.969836090575,281.16389971209696,289.9683736744172,290.44121761951544,1781.8584462660506,2273.561354316698,2347.955081324826,3.264380799999999,26605.820507076667,34240.270432227015,34497.40136817579,4.0,285.25710146840424,289.47573545509624,289.9314531055957,1278.8190589576225,1630.9304032915204,1671.3546720783056,0.1,40.0,50527.2898156171,34975.51897860742,46180.559566663185,46294.764255242495,36.0,280.4274891147975,289.84208079199664,290.44121761951544,1816.0596470355263,2282.8079735143515,2348.6577506232384,0.7923449606552111,267.26544700996874,,,
high_l10,high,10,gemma-7b-it,google--gemma-7b-it,DistServe,DistServe-2A100,distserve_2a100,realistic_pcie,realistic PCIe,True,prefill_finish,2.0,1,1,1,64,continuous_batching,16,0.08,2,real_a100_individual_vllm_lora,stage_measurement_logical_pd_replay_continuous_batching,344064,19445.190933187925,25758.75041855462,25937.905780762398,166.1655131968024,167.80225436282322,167.9146836494674,388.3940297307885,713.0969521679081,799.0039905509035,4.4110144,15029.397126841306,19165.75081137773,19286.91860273433,4.0,167.19719659291115,167.49016340057423,167.53248308112325,535.4947914561667,725.7985354689469,741.6137584733148,0.1,40.0,30073.519118727076,19539.1248636228,25787.08139640905,25941.349731509064,36.0,166.03594606245906,167.81797428269627,167.91187360335869,387.1831054643477,678.5482779595719,800.5241305915422,1.3300803380165513,157.64148042080845,,,
high_l10,high,10,mistral-7b-instruct-v0.2,mistralai--Mistral-7B-Instruct-v0.2,DistServe,DistServe-2A100,distserve_2a100,realistic_pcie,realistic PCIe,True,prefill_finish,2.0,1,1,1,64,continuous_batching,16,0.08,2,real_a100_individual_vllm_lora,stage_measurement_logical_pd_replay_continuous_batching,131072,20332.30993052864,26249.392329111397,26443.941419355913,171.41137470421228,177.0059579372142,177.24198801615222,198.30882151667777,460.49832611892157,496.32562908070474,1.6076352,15618.722443445338,20080.085167626792,20180.361609513027,4.0,174.94583215540587,176.8054730258308,176.92149093947927,349.324818758933,457.9285173385466,464.16706321984987,0.1,40.0,30494.10344362841,20459.66282323991,26274.643871043354,26447.632422853596,36.0,170.70261021337046,176.89860021805956,177.2256049072118,171.9358515758217,394.09761532568564,496.87779728278065,1.3131886772554873,161.95780506944828,,,
high_l10,high,10,qwen2.5-7b-instruct,Qwen--Qwen2.5-7B-Instruct,DistServe,DistServe-2A100,distserve_2a100,realistic_pcie,realistic PCIe,True,prefill_finish,2.0,1,1,1,64,continuous_batching,16,0.08,2,real_a100_individual_vllm_lora,stage_measurement_logical_pd_replay_continuous_batching,57344,17569.9154473213,22615.32512624238,22816.955512547673,150.87844349342106,152.55187973730324,152.92876496994415,175.68178913483865,422.7241489851375,459.7892224121032,0.7000063999999999,13641.558619850535,17344.831888670757,17403.24602469105,4.0,152.40297064995048,152.7444748855002,152.8333907949496,330.86415524320785,423.0141118226635,429.7683784941024,0.1,40.0,26835.09814964699,17687.723198805223,22654.57964699751,22820.949482261887,36.0,150.20924332836614,152.49515420341697,152.92878417469683,146.59801428456055,355.6710858405354,460.3483301734227,1.4928798778093146,141.8059601657909,,,
high_l30,high,30,baichuan2-7b-chat,baichuan-inc--Baichuan2-7B-Chat,DistServe,DistServe-2A100,distserve_2a100,realistic_pcie,realistic PCIe,True,prefill_finish,2.0,1,1,1,64,continuous_batching,16,0.08,2,real_a100_individual_vllm_lora,stage_measurement_logical_pd_replay_continuous_batching,524288,18789.72280891848,24974.448428710315,25168.55354946952,158.58900451144464,167.8567133148607,168.13642971277574,825.5021091352509,1283.7702445972823,1402.5981609221146,12.974956799999998,18535.539236203043,19910.636128576538,19987.543615943225,12.0,166.38084919366776,167.8208732437804,168.10554802127513,805.5723964322061,1271.2699358613438,1375.9693581175432,0.3,40.0,29194.48274746549,18965.11165868667,25026.595187375788,25185.20514491113,28.0,153.64687063798627,167.75288434588958,168.09801366697195,836.6298976836316,1216.7358676014073,1382.6570118938685,1.3716329082191234,153.82842349162874,,,
high_l30,high,30,gemma-2-9b-it,google--gemma-2-9b-it,DistServe,DistServe-2A100,distserve_2a100,realistic_pcie,realistic PCIe,True,prefill_finish,2.0,1,1,1,64,continuous_batching,16,0.08,2,real_a100_individual_vllm_lora,stage_measurement_logical_pd_replay_continuous_batching,301056,35954.374794726886,47990.29195543406,48082.13699250027,291.479307421304,299.1723438870961,300.93829652065835,2479.478080019421,3823.191315134099,3898.9676760930797,7.126129599999999,35242.669216305556,37742.18691183004,38009.91304391838,12.0,293.54118383158294,299.89256541408247,300.83955968653254,2210.879064305888,3493.1645231363796,3767.3190248614774,0.3,40.0,52330.12656100758,36311.79504656592,48010.78936424223,48085.45393665636,28.0,287.7924021732214,298.258138544101,300.78994645571765,2698.580366287979,3849.9985244904224,3901.288355611183,0.7644255421990347,276.8887776072529,,,
high_l30,high,30,gemma-7b-it,google--gemma-7b-it,DistServe,DistServe-2A100,distserve_2a100,realistic_pcie,realistic PCIe,True,prefill_finish,2.0,1,1,1,64,continuous_batching,16,0.08,2,real_a100_individual_vllm_lora,stage_measurement_logical_pd_replay_continuous_batching,344064,19061.66992807008,25501.069734676137,25651.808152985508,164.14416307211695,166.81908419501372,167.32787754389693,1612.4261517858972,2358.6997473681795,2549.7069521074245,10.100435200000002,18756.431516860823,20611.002487135993,20755.280920314628,12.0,165.9377194933363,166.8854943651573,167.16065865105867,1453.2948387755714,2323.9768284256547,2511.710338807132,0.3,40.0,29771.99757164965,19306.716150098433,25543.472930925716,25668.323909045834,28.0,157.96249068897325,166.82615506150776,167.28576776667217,1745.7767685336455,2329.068558496589,2532.3411086636474,1.3435882800674976,155.99514990627108,,,
high_l30,high,30,mistral-7b-instruct-v0.2,mistralai--Mistral-7B-Instruct-v0.2,DistServe,DistServe-2A100,distserve_2a100,realistic_pcie,realistic PCIe,True,prefill_finish,2.0,1,1,1,64,continuous_batching,16,0.08,2,real_a100_individual_vllm_lora,stage_measurement_logical_pd_replay_continuous_batching,131072,19989.229083175127,26452.616828114256,26665.337566719005,170.339698106727,174.58473901550107,174.62440276805378,899.6940758073171,1401.8621386118689,1521.7856885916146,3.4671167999999994,19631.174497758886,21097.614308723583,21194.6596214057,12.0,173.3391649398176,174.5748818927781,174.59656982129604,856.1515538201248,1382.498971682004,1494.0086537755694,0.3,40.0,30724.87536544705,20182.707964017325,26505.127492460044,26681.167565055886,28.0,164.41631567486667,174.58889475866954,174.624069151551,932.7053808139947,1332.6297693061824,1502.255387889651,1.3043844277008951,161.91539227203762,,,
high_l30,high,30,qwen2.5-7b-instruct,Qwen--Qwen2.5-7B-Instruct,DistServe,DistServe-2A100,distserve_2a100,realistic_pcie,realistic PCIe,True,prefill_finish,2.0,1,1,1,64,continuous_batching,16,0.08,2,real_a100_individual_vllm_lora,stage_measurement_logical_pd_replay_continuous_batching,57344,18547.79510715354,24351.261295382654,24535.903298416033,159.25623244533398,161.55037695757778,162.00236556760046,664.7462352616409,1052.6846030762174,1183.4561108268629,1.4483904000000005,18273.153974624613,19467.007041447192,19531.09118526098,12.0,160.47615873894884,161.81875698535328,161.98601696087303,687.687968584749,1076.4425984903908,1163.6545913332864,0.3,40.0,28595.89775869671,18739.423323781055,24401.778475905194,24553.59843443061,28.0,156.0522867730664,161.1454131658684,161.962694385811,617.5396816661123,1002.6525452775484,1155.8488078445657,1.3988107660688769,150.79454626114517,,,
